regime_id,feed,kill,sample_index,initial_condition_seed,component_count,background_component_count,minority_component_count,phase_component_max,euler_characteristic,absolute_euler_characteristic,interface_length,area_fraction,minkowski_area,minkowski_perimeter,minkowski_euler,anisotropy,heldout_spectrum_1,heldout_spectrum_2,phi_mean,phi_second_moment,phi_shell_1,phi_shell_2
grid_F0280_k0620,0.028,0.062,29,31029,6.0,1.0,6.0,6.0,6.0,6.0,0.177734375,0.2626953125,0.2626953125,0.177734375,6.0,0.0885202423134007,0.0001278514266950327,2.0739645446001234e-06,0.0987078994512558,0.02161300554871559,0.014026504009962082,0.008474400267004967
grid_F0280_k0620,0.028,0.062,30,31030,6.0,1.0,6.0,6.0,6.0,6.0,0.177734375,0.251953125,0.251953125,0.177734375,6.0,0.04453605407993988,0.00011797583578392366,1.7987777824875527e-06,0.09767570346593857,0.021409068256616592,0.013934017159044743,0.00845393631607294
grid_F0280_k0620,0.028,0.062,31,31031,6.0,1.0,6.0,6.0,6.0,6.0,0.173828125,0.2529296875,0.2529296875,0.173828125,6.0,0.016860019131960977,0.00010246217890191907,1.915051927345456e-06,0.09676019102334976,0.021284641698002815,0.013871605508029461,0.008452183566987514
grid_F0280_k0620,0.028,0.062,32,31032,6.0,1.0,6.0,6.0,5.0,5.0,0.171875,0.26171875,0.26171875,0.171875,5.0,0.029418963837321545,0.00010597195661383915,3.2126877883768957e-06,0.09801873564720154,0.02137843891978264,0.013925304636359215,0.008237676694989204
grid_F0280_k0620,0.028,0.062,33,31033,4.0,1.0,4.0,4.0,4.0,4.0,0.150390625,0.2490234375,0.2490234375,0.150390625,4.0,0.22210958663037605,7.268707660395178e-05,3.1347652269907006e-06,0.09093862026929855,0.01978064328432083,0.013346505351364613,0.007067484315484762
grid_F0280_k0620,0.028,0.062,34,31034,6.0,1.0,6.0,6.0,6.0,6.0,0.177734375,0.2529296875,0.2529296875,0.177734375,6.0,0.039276791822619374,0.00011446454248725403,1.979423893023119e-06,0.09763799607753754,0.021500226110219955,0.01400574017316103,0.008505319245159626
grid_F0280_k0620,0.028,0.062,35,31035,6.0,1.0,6.0,6.0,6.0,6.0,0.17578125,0.2587890625,0.2587890625,0.17578125,6.0,0.0797931310814273,0.00010101303297917972,2.0957783115188324e-06,0.09812808781862259,0.021408602595329285,0.013891138136386871,0.00840736459940672
grid_F0280_k0620,0.028,0.062,36,31036,6.0,1.0,6.0,6.0,6.0,6.0,0.17578125,0.255859375,0.255859375,0.17578125,6.0,0.06897411488949338,0.00011590637848129457,1.909401150781437e-06,0.0981246829032898,0.021540414541959763,0.014009831473231316,0.008487001061439514
grid_F0280_k0620,0.028,0.062,37,31037,7.0,1.0,7.0,7.0,7.0,7.0,0.18359375,0.2587890625,0.2587890625,0.18359375,7.0,0.021329299206557736,9.771061763007749e-05,3.3563390996758933e-06,0.10485620051622391,0.023301485925912857,0.014211410656571388,0.009647471830248833
grid_F0280_k0620,0.028,0.062,38,31038,7.0,1.0,7.0,7.0,7.0,7.0,0.189453125,0.263671875,0.263671875,0.189453125,7.0,0.037164903584391784,9.001655029896335e-05,3.2962301287562474e-06,0.10427096486091614,0.022905046120285988,0.01394655741751194,0.009428669698536396
grid_F0280_k0620,0.028,0.062,39,31039,6.0,1.0,6.0,6.0,6.0,6.0,0.171875,0.24609375,0.24609375,0.171875,6.0,0.03691778641539441,9.74368323823321e-05,1.977990214862184e-06,0.09553855657577515,0.020965659990906715,0.013598513789474964,0.008216273039579391
grid_F0280_k0620,0.028,0.062,40,31040,7.0,1.0,7.0,7.0,7.0,7.0,0.193359375,0.2646484375,0.2646484375,0.193359375,7.0,0.012203540989075381,9.510698309985298e-05,3.2685725085150457e-06,0.10421290248632431,0.023025203496217728,0.014038462191820145,0.009519013576209545
grid_F0280_k0620,0.028,0.062,41,31041,6.0,1.0,6.0,6.0,6.0,6.0,0.169921875,0.2509765625,0.2509765625,0.169921875,6.0,0.0499819378599587,0.0001185290152876199,1.966512795138524e-06,0.09771429747343063,0.0214834064245224,0.01399228721857071,0.00849491823464632
grid_F0280_k0620,0.028,0.062,42,31042,7.0,1.0,7.0,7.0,7.0,7.0,0.193359375,0.263671875,0.263671875,0.193359375,7.0,0.025392917436849658,9.474833014439382e-05,2.7679413942541135e-06,0.1038435772061348,0.022865960374474525,0.013937263749539852,0.009470231831073761
grid_F0280_k0620,0.028,0.062,43,31043,6.0,1.0,6.0,6.0,6.0,6.0,0.17578125,0.2607421875,0.2607421875,0.17578125,6.0,0.08242766004402367,0.00012954517520904747,1.91350566409942e-06,0.09863783419132233,0.021688761189579964,0.014097059145569801,0.00853627361357212
grid_F0280_k0620,0.028,0.062,44,31044,7.0,1.0,7.0,7.0,7.0,7.0,0.193359375,0.2666015625,0.2666015625,0.193359375,7.0,0.015082280398151111,8.792335762570968e-05,3.006178464712522e-06,0.10329575836658478,0.022496972233057022,0.013702809810638428,0.009270577691495419
grid_F0280_k0620,0.028,0.062,45,31045,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.006492321624085e-45,0.0,0.0,0.0
grid_F0280_k0620,0.028,0.062,46,31046,6.0,1.0,6.0,6.0,6.0,6.0,0.177734375,0.259765625,0.259765625,0.177734375,6.0,0.06187535570248159,0.00012746561073387455,1.987021434750676e-06,0.09808145463466644,0.02157985419034958,0.014049538411200047,0.00852461252361536
grid_F0280_k0620,0.028,0.062,47,31047,6.0,1.0,6.0,6.0,6.0,6.0,0.177734375,0.26171875,0.26171875,0.177734375,6.0,0.08244353577713326,0.00012907049922939156,1.8827863669250172e-06,0.0986601933836937,0.02167963609099388,0.014093171805143356,0.00852998998016119
grid_F0280_k0620,0.028,0.062,48,31048,6.0,1.0,6.0,6.0,6.0,6.0,0.17578125,0.25390625,0.25390625,0.17578125,6.0,0.03074579808990175,0.00011146918588981321,1.7664601066039932e-06,0.0973391905426979,0.021390430629253387,0.013934199698269367,0.008473442867398262
grid_F0280_k0620,0.028,0.062,49,31049,7.0,1.0,7.0,7.0,7.0,7.0,0.19140625,0.265625,0.265625,0.19140625,7.0,0.012321470091219809,8.746558900688136e-05,3.2855564250189576e-06,0.10381676256656647,0.022769473493099213,0.013882479630410671,0.009366480633616447
grid_F0280_k0620,0.028,0.062,50,31050,7.0,1.0,7.0,7.0,7.0,7.0,0.1875,0.265625,0.265625,0.1875,7.0,0.006794416757793035,8.615046746010722e-05,3.0085742897134386e-06,0.1030535101890564,0.02258377894759178,0.013780616223812103,0.00937122292816639
grid_F0280_k0620,0.028,0.062,51,31051,8.0,1.0,8.0,8.0,8.0,8.0,0.203125,0.2705078125,0.2705078125,0.203125,8.0,0.036732112107013194,5.650239971748563e-05,4.52214221080565e-06,0.10931885242462158,0.023612987250089645,0.01352715864777565,0.009729956276714802
grid_F0280_k0620,0.028,0.062,52,31052,6.0,1.0,6.0,6.0,6.0,6.0,0.169921875,0.2587890625,0.2587890625,0.169921875,6.0,0.045823790258593636,0.00013927460178735226,1.8212172637055002e-06,0.0982353538274765,0.021650968119502068,0.014107778668403625,0.008554964326322079
grid_F0280_k0620,0.028,0.062,53,31053,6.0,1.0,6.0,6.0,6.0,6.0,0.181640625,0.267578125,0.267578125,0.181640625,6.0,0.1538922714504756,0.00010435959558527207,2.620679776692948e-06,0.1020217090845108,0.02220604196190834,0.013947971165180206,0.008731929585337639
grid_F0280_k0620,0.028,0.062,54,31054,6.0,1.0,6.0,6.0,6.0,6.0,0.16796875,0.2470703125,0.2470703125,0.16796875,6.0,0.028968922177460797,0.00010335751356566739,1.6598266146545824e-06,0.09598515927791595,0.021083597093820572,0.013729827478528023,0.008296358399093151
grid_F0280_k0620,0.028,0.062,55,31055,6.0,1.0,6.0,6.0,6.0,6.0,0.171875,0.2509765625,0.2509765625,0.171875,6.0,0.03834329111868743,0.00011162193257929137,1.9227307573770676e-06,0.09736566245555878,0.021438000723719597,0.013972201384603977,0.008493647910654545
grid_F0280_k0620,0.028,0.062,56,31056,5.0,1.0,5.0,5.0,5.0,5.0,0.15234375,0.2412109375,0.2412109375,0.15234375,5.0,0.013579922461206423,0.00012603665819630578,2.3553601558637245e-06,0.09092966467142105,0.020022133365273476,0.01390931662172079,0.0074921282939612865
grid_F0280_k0620,0.028,0.062,57,31057,6.0,1.0,6.0,6.0,6.0,6.0,0.171875,0.25390625,0.25390625,0.171875,6.0,0.046578356326758205,9.440435171856256e-05,2.051504108696971e-06,0.09755566716194153,0.021379172801971436,0.013893486931920052,0.008443597704172134
grid_F0280_k0620,0.028,0.062,58,31058,6.0,1.0,6.0,6.0,6.0,6.0,0.1796875,0.2568359375,0.2568359375,0.1796875,6.0,0.060953791296805754,0.00012955149800231158,2.0289905552803223e-06,0.09831523895263672,0.021657630801200867,0.01409639697521925,0.00854700431227684
grid_F0280_k0620,0.028,0.062,59,31059,6.0,1.0,6.0,6.0,6.0,6.0,0.171875,0.2587890625,0.2587890625,0.171875,6.0,0.08354704868049598,0.00013463907224698122,2.1150446540219556e-06,0.09872353821992874,0.021668249741196632,0.014064325951039791,0.008527660742402077
grid_F0280_k0620,0.028,0.062,60,31060,6.0,1.0,6.0,6.0,6.0,6.0,0.1875,0.2763671875,0.2763671875,0.1875,6.0,0.15948344953639707,9.875237096238564e-05,3.1124779528507717e-06,0.10445147752761841,0.0227609034627676,0.014049320481717587,0.008946037851274014
grid_F0280_k0620,0.028,0.062,61,31061,6.0,1.0,6.0,6.0,6.0,6.0,0.1796875,0.255859375,0.255859375,0.1796875,6.0,0.054203780345016446,0.00012275059067865324,2.0231668550958207e-06,0.09799711406230927,0.02157561480998993,0.014049991965293884,0.008525174111127853
grid_F0280_k0620,0.028,0.062,62,31062,6.0,1.0,6.0,6.0,6.0,6.0,0.173828125,0.2529296875,0.2529296875,0.173828125,6.0,0.005885468416284837,9.700833288302203e-05,1.7405165170557405e-06,0.0969371646642685,0.021364137530326843,0.013912730850279331,0.008454837836325169
