design_index,design_id,rank,risk,bootstrap_standard_error,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_rank_median,bootstrap_rank_ci_lower,bootstrap_rank_ci_upper,projection_valid,law_risk_valid,multiplier_dynamics_valid,tangent_action_valid,full_action_valid,maximum_projection_residual,mean_projection_kl,minimum_log10_intrinsic_ess,worst_covariance_condition
425,design_000425,361,0.026401335830382202,0.013110303967010812,0.014976267247571949,0.06667233534804028,352.5,254.95000000000002,383.525,True,True,False,False,False,0.008076072580970211,,,
426,design_000426,288,0.02208201554306631,0.009881339260877857,0.016126204531344474,0.053600054444366226,291.0,203.47500000000002,427.525,True,True,False,False,False,0.021670197437975935,,,
427,design_000427,211,0.01770179569251006,0.007122416357323827,0.01528910262713595,0.04357901755615827,213.0,111.0,450.0,True,True,False,False,False,0.009527910839012216,,,
428,design_000428,463,0.04126335413969627,0.018418784511890746,0.021092793877059073,0.09223369559909408,461.0,373.0,488.0,True,True,False,False,False,0.006616959215821259,,,
429,design_000429,92,0.01255646665742976,0.00836529019401162,0.009378185280507026,0.0412787383717765,102.0,49.0,166.7249999999998,True,True,False,False,False,0.024112241905918545,,,
430,design_000430,59,0.011258332892638154,0.009345144522813828,0.006922538036660643,0.04308352296434936,75.0,7.0,143.52499999999998,True,True,False,False,False,0.03011870928082167,,,
431,design_000431,96,0.012708832913964109,0.0076274210278356415,0.010572081479222053,0.04099329095589476,105.0,64.47500000000001,232.52499999999998,True,True,False,False,False,0.04239518657669614,,,
432,design_000432,152,0.015111704182704945,0.009114648169759706,0.011030063009294955,0.04662476472777181,156.0,104.47500000000001,198.0,True,True,False,False,False,0.025480797773475145,,,
433,design_000433,412,0.03261270402723666,0.01731586518010451,0.01472202111090663,0.08162124359285677,409.0,194.80000000000007,452.0,True,True,False,False,False,0.05176432206329014,,,
434,design_000434,499,0.05220096979758562,0.02034700023126622,0.026537109540708856,0.1045489335274645,499.0,460.95000000000005,507.0,True,True,False,False,False,0.019404762801437398,,,
435,design_000435,66,0.011479917003128741,0.007197547489068946,0.009940653110721025,0.03773309879177005,79.0,47.0,214.57499999999993,True,True,False,False,False,0.0662630200459929,,,
436,design_000436,239,0.018995561921763188,0.011287562458300971,0.011276214097054598,0.05404888442293148,234.0,88.47500000000001,298.525,True,True,False,False,False,0.0350355985547174,,,
437,design_000437,507,0.05802244964718887,0.022655466833982296,0.02941444546620866,0.11778467789848882,507.0,481.0,511.0,True,True,False,False,False,0.005201568201311953,,,
438,design_000438,303,0.022769319564863593,0.010968887833003696,0.015229962844717315,0.05566117382743452,303.5,186.42500000000004,418.0,True,True,False,False,False,0.012513414568118672,,,
439,design_000439,342,0.025091044272119844,0.015541137675231895,0.010380212539101165,0.07097389369182694,334.0,68.85000000000007,401.04999999999995,True,True,False,False,False,0.019596590730892895,,,
440,design_000440,395,0.030446054697110123,0.014781022177432279,0.016666082059656712,0.0736229693468266,394.0,279.475,424.0,True,True,False,False,False,0.017649235193164314,,,
441,design_000441,340,0.025041264713340332,0.011720939300949789,0.016295968946621612,0.0616134701616333,335.0,271.475,389.0,True,True,False,False,False,0.012585521262837837,,,
442,design_000442,376,0.027448167907390165,0.01173841204112565,0.01813022689842546,0.06320503991784203,367.0,296.475,446.525,True,True,False,False,False,0.008980660194905541,,,
443,design_000443,145,0.014906553805502243,0.007918974168046971,0.011702547475806992,0.042593069533624656,151.0,74.0,339.0999999999999,True,True,False,False,False,0.015413066700518162,,,
444,design_000444,154,0.015122782512741495,0.006185350653127643,0.013099486757565705,0.037464463846307805,156.0,57.0,453.87499999999966,True,True,False,False,False,0.048552897075632165,,,
