objective,model_seed,evaluation_seed,tangent_local_mmd,tangent_rollout_mmd,mfsi_rollout_mmd,velocity_gap,min_ess,max_moment_error,angular_error
info,20260812,20300819,0.07469855551714444,0.09006368872037561,0.07334576502611369,0.4095408415074264,0.2766653263276195,0.0017085545523023529,0.08481176321329394
cv,20260812,20300810,0.08290819185963891,0.09860479832598786,0.08670628370257559,0.2967820951422002,0.2628794981909675,0.0016227095237914806,0.07816271381188918
cv,20260812,20300811,0.09164356634148291,0.0736492474094589,0.08096315759330243,0.30217711866789726,0.2628794981909675,0.0016227095237920657,0.08737368742703065
cv,20260812,20300812,0.08367973748755024,0.07871849646143525,0.08957789454558042,0.29986424341402784,0.2628794981909675,0.0016227095237916858,0.1055048560481859
cv,20260812,20300813,0.08023119911272394,0.10243186176524238,0.1066564413032286,0.30824194451460063,0.2628794981909675,0.0016227095237909554,0.08596201229696136
cv,20260812,20300814,0.08021376846896933,0.08745492821150931,0.08753533948393066,0.29731614574932846,0.2628794981909675,0.0016227095237919958,0.08045889423657632
cv,20260812,20300815,0.08263941225709381,0.07432170804940319,0.07784034240350536,0.3016052131475616,0.2628794981909675,0.0016227095237905456,0.08648052032512717
cv,20260812,20300816,0.08534811456953104,0.08345420686631716,0.06878319670814521,0.29506236588173407,0.2628794981909675,0.0016227095237919807,0.07936431944756127
cv,20260812,20300817,0.09173091827676294,0.07535542869095037,0.07016865917497392,0.303917462705471,0.2628794981909675,0.0016227095237905894,0.0776825570546436
cv,20260812,20300818,0.09391113689898742,0.08568736839669065,0.08754134400678505,0.29794173229006077,0.2628794981909675,0.0016227095237921713,0.08725252863806543
cv,20260812,20300819,0.0718492641644589,0.07582583495874869,0.07547740985637458,0.3030201884024839,0.2628794981909675,0.0016227095237931269,0.07799319044897408
fiber,20260812,20300810,0.056616760384118676,0.05559539084312908,0.052055231581062955,0.18464822269546072,0.8601873930628491,0.0015135575745910445,0.05995042416107923
fiber,20260812,20300811,0.06215455404763,0.07256083645671724,0.07090338893910098,0.18271548245458055,0.8601873930628491,0.001513557574591233,0.07803605545293624
fiber,20260812,20300812,0.055417339715629774,0.07036956057901372,0.06991298344681775,0.17831158833978825,0.8601873930628491,0.0015135575745908701,0.034991261926274865
fiber,20260812,20300813,0.05313888183720608,0.09328601150648003,0.08877662098773886,0.17917165939012938,0.8601873930628491,0.001513557574590892,0.0721965996542747
