theta1_deg,theta2_deg,population_law,finite_risk,finite_risk_se,pre_action,refined_action,is_law_best,is_full_best
16.0,74.0,0.07278318653965359,0.07198083741194146,0.00076890631455579,nan,nan,0,0
17.0,62.0,0.07034931398424683,0.06902313335529071,0.0004844642979733532,nan,nan,0,0
17.0,63.0,0.07028970818211154,0.0689709049758257,0.00047644317706814623,nan,nan,0,0
17.0,64.0,0.07025882890674527,0.06895273018582657,0.0004717789227637293,nan,nan,0,0
17.0,65.0,0.07026007021677014,0.06897221432341163,0.00047086105336984646,nan,nan,0,0
17.0,66.0,0.07029699804062925,0.06903306764432382,0.000474143585146596,nan,nan,0,0
17.0,67.0,0.0703732483956642,0.06913900653419106,0.00048217683421603887,nan,nan,0,0
17.0,68.0,0.07049239504072928,0.0692936269519171,0.000495620597461579,nan,nan,0,0
17.0,69.0,0.07065778503835471,0.06950024694121515,0.0005152233151008667,nan,nan,0,0
17.0,70.0,0.07087234184128038,0.06976171557803161,0.0005417595002032126,nan,nan,0,0
17.0,71.0,0.07113833770138722,0.0700801873955352,0.0005759315587168033,nan,nan,0,0
17.0,72.0,0.07145714106728727,0.07045686524774633,0.0006182560266015649,nan,nan,0,0
17.0,73.0,0.07182894961152564,0.0708917193210141,0.0006689600013764761,nan,nan,0,0
17.0,74.0,0.07225252472198483,0.07138319526199524,0.0007279075836799812,nan,nan,0,0
18.0,62.0,0.07017391275951072,0.0688086465547183,0.00047313994238803254,nan,nan,0,0
18.0,63.0,0.07009799855869249,0.06874060687711932,0.0004644967628100457,5118.04156675207,nan,0,0
18.0,64.0,0.07004918128574494,0.06870453305688919,0.0004589619385396172,4709.307642592389,nan,0,0
18.0,65.0,0.07003088267437262,0.06870407756650669,0.0004569618933476158,4311.469511508662,nan,0,0
18.0,66.0,0.07004671712484171,0.06874302566064332,0.00045898018341669725,3925.6635988717244,nan,0,0
18.0,67.0,0.0701004002504627,0.06882520522457367,0.00046557924933907595,nan,nan,0,0
18.0,68.0,0.0701956286666295,0.0689543707197178,0.000477407901922279,nan,nan,0,0
18.0,69.0,0.07033592889809638,0.06913405783597248,0.0004951819130243452,nan,nan,0,0
18.0,70.0,0.0705244741506846,0.06936740564831706,0.000519630814028812,nan,nan,0,0
18.0,71.0,0.07076386966088447,0.06965694442789236,0.0005514149882521523,nan,nan,0,0
18.0,72.0,0.07105591085164187,0.07000435061818193,0.0005910285914096212,nan,nan,0,0
18.0,73.0,0.07140132339179288,0.07041017500842768,0.0006387090711041514,nan,nan,0,0
18.0,74.0,0.07179949903241735,0.07087355449916174,0.0006943696796339903,nan,nan,0,0
19.0,62.0,0.07004864572814723,0.06865006505416685,0.0004656408626508141,5281.417461559513,nan,0,0
19.0,63.0,0.0699584617410393,0.06856826694804521,0.00045662705568624563,4894.598775003967,nan,0,0
19.0,64.0,0.06989377455182307,0.06851642182088043,0.0004504878874731987,4516.861019511596,nan,0,0
19.0,65.0,0.06985801056020685,0.0684982047926257,0.0004476731595097439,4148.925822263453,nan,0,0
19.0,66.0,0.06985480660163484,0.06851744830681299,0.0004486848505970554,3792.434767733016,nan,0,0
19.0,67.0,0.06988792795463188,0.06857805985909213,0.0004540903586718325,3448.798130253337,nan,0,0
19.0,68.0,0.06996115949637748,0.06868391560985207,0.0004645246093977563,3119.040946556186,nan,0,0
19.0,69.0,0.07007816741340825,0.06883872648048117,0.00048067120769869825,nan,nan,0,0
19.0,70.0,0.07024232951966712,0.06904587309392889,0.0005032168746734697,nan,nan,0,0
19.0,71.0,0.07045653396381933,0.0693082070391008,0.0005327818366961748,nan,nan,0,0
19.0,72.0,0.07072294937343013,0.06962781882833177,0.0005698378375724482,nan,nan,0,0
19.0,73.0,0.07104277398858941,0.07000577699439589,0.0006146299019144548,nan,nan,0,0
19.0,74.0,0.0714159760081511,0.07044184669457515,0.0006671150768960382,nan,nan,0,0
20.0,62.0,0.0699665392109178,0.06853960110588597,0.00046148550976247136,5040.643425101716,nan,0,0
20.0,63.0,0.06986403086511703,0.06844597939125818,0.00045233493735128186,4684.127653636047,nan,0,0
20.0,64.0,0.06978545211427829,0.06838036943507393,0.00044583682498439944,4335.856008546515,nan,0,0
20.0,65.0,0.06973421277361494,0.06834644599479768,0.000442451055810225,3997.1468904335397,nan,0,0
20.0,66.0,0.06971394794915158,0.06834806251328784,0.00044268621061651,3669.1412669445986,nan,0,0
20.0,67.0,0.06972844473362802,0.06838917602969437,0.00044710612278521305,3352.5365384492866,nan,0,0
20.0,68.0,0.06978154398465677,0.06847374980556362,0.0004563276188299469,3048.5904097177763,nan,0,0
20.0,69.0,0.0698770142405391,0.06860563019196901,0.0004710020308667347,2759.059049087371,nan,0,0
20.0,70.0,0.07001839531085696,0.06878839388659273,0.0004917759792867768,nan,nan,0,0
20.0,71.0,0.07020881053247807,0.06902516252012672,0.0005192330463138275,nan,nan,0,0
20.0,72.0,0.0704507497278529,0.06931838415598605,0.0005538248776781896,nan,nan,0,0
20.0,73.0,0.07074582912570979,0.06966958471459991,0.0005958038260518684,nan,nan,0,0
20.0,74.0,0.0710945387598946,0.07007909593955994,0.0006451675508034744,nan,nan,0,0
21.0,62.0,0.06992131667741147,0.06847035085841258,0.0004602628121613344,4815.341299756444,nan,0,0
21.0,63.0,0.06980832403927956,0.06836671507296585,0.0004511825226786912,4487.55605523532,nan,0,0
21.0,64.0,0.06971773082424386,0.068289219847305,0.0004445415706379215,4167.781947298186,nan,0,0
21.0,65.0,0.06965291089879312,0.06824151830686784,0.0004407980494171212,3857.2311669133614,nan,0,0
21.0,66.0,0.0696174754740392,0.06822746047425428,0.0004404560167101789,3556.224939589569,nan,0,0
