case,design_id,design_index,style,day,source_time_index,grid_nx,grid_ny,grid_point_count,converged,iterations,reported_residual,verified_l2_residual,verified_linf_residual,lambda_0,lambda_1,lambda_2,lambda_3,lambda_norm,kl_divergence,intrinsic_ess,log10_intrinsic_ess,covariance_min_eigenvalue,covariance_max_eigenvalue,covariance_condition_regularized,maximum_quadrature_weight
10,design_000403,403,lateral_discriminating,2.5,10,512,272,139264,False,200,0.03456627406065699,0.03456627406065948,0.02903853734333295,-500.0,307.14178823742736,-42.860741011291374,4.9493703235993705,588.3856027031268,14.362041856515196,6.006382048956547e-36,-35.22138704701605,3.554307162072112e-05,0.023547736780360325,662.4941011719294,0.021369377912404605
11,design_000424,424,upstream_focused,2.5,10,128,68,8704,True,20,2.2007235581506353e-15,2.322363928470733e-15,1.9984014443252818e-15,201.7621592621373,61.72388685022652,175.7793040737302,-42.72475487777661,277.92368653648543,24.844246688246102,1.5090578819033926e-44,-43.82129410196785,0.0004288101500695188,0.11360111114130891,264.9210780150934,0.06158126987429758
11,design_000424,424,upstream_focused,2.5,10,256,136,34816,True,20,4.552617755836825e-15,4.207058870180843e-15,3.6637359812630166e-15,201.704053322467,61.642912073409356,175.81539765442864,-42.73852786483428,277.88848402199176,24.848333867877017,1.7748557212282173e-44,-43.750836945156024,0.00042844777391960775,0.11370071702017517,265.37762491417345,0.016394804453395622
11,design_000424,424,upstream_focused,2.5,10,512,272,139264,True,20,6.648749507502913e-15,4.419835762464798e-15,3.885780586188048e-15,201.70405330309254,61.64291203452877,175.81539765759825,-42.73852786438524,277.8884840012405,24.848333826864874,1.7747259641898107e-44,-43.75086869693457,0.0004284477741804505,0.1137007170481509,265.377624817905,0.00420680490776769
12,design_000460,460,upstream_focused,2.5,10,128,68,8704,True,9,4.5260784251124015e-10,4.5260801375312754e-10,3.927491665223215e-10,-67.08331531289843,16.1467969208241,-71.77238809338154,-16.567042449415474,100.92885034676557,6.699267188873677,3.6408701774187035e-05,-4.438794806437071,0.0003246873628273327,0.06534321947939072,201.2490374166562,0.09807262387898423
12,design_000460,460,upstream_focused,2.5,10,256,136,34816,True,9,6.689050286895805e-11,6.689124907540224e-11,5.764205779357212e-11,-65.5039337427814,15.786891492767165,-70.53257347463197,-16.430143156829082,98.91807116948527,6.692638485677942,5.420336596439012e-05,-4.2659737434547615,0.0003198285016743494,0.06528371834220222,204.12037976619848,0.028437868520925964
12,design_000460,460,upstream_focused,2.5,10,512,272,139264,True,9,6.68932263470121e-11,6.689433143184887e-11,5.764505539573861e-11,-65.5039939314179,15.786880874460422,-70.53258489671339,-16.43026384573913,98.9181375227229,6.692639209995761,5.420251080422591e-05,-4.26598059532205,0.00031982823182669627,0.0652836655766999,204.12038700725992,0.006998273808598323
13,design_000363,363,lateral_discriminating,5.0,20,128,68,8704,True,6,1.7587650912752227e-09,1.7587654539839813e-09,1.2444035246694796e-09,23.74795193848618,4.254401905023625,14.113209411074466,8.00090589360447,29.07339560218713,2.9875024007608673,0.00039788271682272467,-3.400244925270651,0.0017909593417748458,0.05418674805290262,30.25569455055796,0.029659285305527423
13,design_000363,363,lateral_discriminating,5.0,20,256,136,34816,True,6,1.7587609680024546e-09,1.7587605383481314e-09,1.2444002980838142e-09,23.74795122670011,4.254401471643223,14.113209319880173,8.00090535130954,29.07339476385607,2.9875023212493805,0.00039785811278886024,-3.400271781743879,0.001790959329852209,0.054186744251238254,30.25569262927771,0.007524326388272276
13,design_000363,363,lateral_discriminating,5.0,20,512,272,139264,True,6,1.7587615747810611e-09,1.758761296921913e-09,1.2444001384892545e-09,23.74795122670015,4.254401471643133,14.113209319880264,8.00090535130932,29.073394763856072,2.9875023212493934,0.00039785811278884327,-3.400271781743897,0.0017909593298521388,0.05418674425123803,30.255692629278773,0.0018978839649676838
14,design_000400,400,lateral_discriminating,5.0,20,128,68,8704,True,6,1.512446868741112e-11,1.5124508543509264e-11,9.815332574492075e-12,17.42940829869947,7.805505974361796,17.87369685600594,-5.3271060458571196,26.693768847481536,3.0156526984672185,0.0037147242659388608,-2.430073417226547,0.00165060170237609,0.04553755922024705,27.58844399969443,0.027004082148075426
14,design_000400,400,lateral_discriminating,5.0,20,256,136,34816,True,6,1.512471330881598e-11,1.5124376528851864e-11,9.815322166151219e-12,17.42940890607161,7.805505867898301,17.87369707684368,-5.3271061015351355,26.69376937190824,3.0156526255841434,0.003714716578502472,-2.430074315978222,0.0016506016550828795,0.045537557153039906,27.58844353776554,0.007075640945748035
