rank_among_eligible,design_index,design_id,style,sigma_km,fully_grid_usable,validation_mmd_risk,bootstrap_risk_se,minimum_log10_intrinsic_ess,median_log10_intrinsic_ess,worst_covariance_condition_regularized,mean_projection_kl,maximum_projection_kl,maximum_moment_residual,maximum_native_iterations,projection_failure_count,s1_x_km,s1_y_km,s2_x_km,s2_y_km,s3_x_km,s3_y_km,s4_x_km,s4_y_km
308,387,design_000387,lateral_discriminating,200.0,True,0.022619147679276197,0.01935815585439117,-1955.066565397746,-0.05702445471923826,360685.84891364264,2.246785641432887,24.417599208026406,7.698719917139588e-09,55,0,674.0339821737629,-632.7855762623428,842.5111499408767,-140.419777674001,663.6664347422727,243.5026433082589,592.6775962050305,643.746747582924
309,10,design_000010,manual,200.0,True,0.022657420672893964,0.016248139653186604,-12570.81006879585,-0.07277781096684696,33480589259050.45,1.3290189091181663,16.31220034785988,9.99687150770453e-09,940,0,100.0,-250.0,700.0,-250.0,1300.0,-250.0,1900.0,-250.0
310,394,design_000394,lateral_discriminating,200.0,True,0.022775899345444023,0.019176077855264366,-1859.488617921352,-0.04103052416459616,2190835.2563693724,2.5084427378748035,28.659273487782478,7.56646235453e-09,82,0,1024.673663437361,-688.1938608478689,876.2643306910701,-52.68912896474947,759.0312587396471,213.78201422579605,913.2541428016757,547.2076649208476
311,421,design_000421,upstream_focused,200.0,True,0.022792271314516197,0.0170869561480659,-24.46173646976308,-0.050982067698018,5653.905398025828,1.1761847596795796,16.97484776614787,9.546329388236822e-09,13,0,-317.287937984527,42.36926204441227,296.70570038753783,289.2270073619611,403.2869588244607,-258.2831165997514,-275.6424928589323,-392.4880926759646
312,19,design_000019,support_random,200.0,True,0.02291026376731942,0.015779015293761696,-1840.3426630516624,-0.060765292061756945,29804905010150.824,1.164426358324147,10.82979167848597,9.8733315881541e-09,37,0,-188.21385784601227,139.02263276526662,734.8707195946488,500.25656880907974,450.57975390671095,321.3636949139103,1030.1921578940926,533.1946804539684
313,130,design_000130,support_random,200.0,True,0.022911683770432633,0.016440270177675798,-476.72786583866707,-0.07381892042654799,130773394.92944722,1.4092712392741078,10.568944623332778,4.437634920972253e-09,24,0,749.8366431321274,280.3645563350981,66.8194458215276,25.123579835563703,-209.3783919679214,131.7068408698644,416.5272215937278,-405.85920108085804
314,379,design_000379,lateral_discriminating,200.0,True,0.02296085753216459,0.01900535985344269,-9232.824835501598,-0.04203577435838235,523085.86490659916,2.184330502312644,22.300723405616573,9.586972559935636e-09,94,0,800.7162810101772,-550.4449911097153,847.9066336211079,-164.7782866973834,780.3385600368172,136.5695382887506,823.7009044286261,519.0442467433195
315,256,design_000256,longitudinal_stratified,200.0,True,0.023064669749844686,0.015918897810122692,-4584.436489069013,-0.18990979466278468,34505599760261.594,1.0980420364886312,13.27534093187714,8.43879486700364e-09,32,0,-99.57995182875263,295.4412065615975,81.09169413841057,57.239854872228506,375.4080598027002,-36.878128120411816,1590.3537729344548,266.5802342789192
316,177,design_000177,support_random,200.0,True,0.02307980125275268,0.014506570102143077,-2434.8491187470977,-0.10063628220916179,9079603780652.135,0.7324819891517574,6.671600799662084,1.455731907728625e-09,33,0,1280.5981063055417,266.7503955885036,161.29020408780417,-158.2707936121292,-360.8743652220249,-480.470029318762,250.984354704093,106.86106968059572
317,52,design_000052,support_random,200.0,True,0.023101480309784893,0.014955179396288536,-3600.522232114496,-0.13831313012630553,50871052746266.97,0.745350149527395,8.05800204611468,7.916892698434314e-09,37,0,250.02044023818397,268.17404474017,1717.084873180626,160.35836360439433,249.3038516719556,-25.60560815287037,-242.8036808769764,101.57631127643054
