design_index,design_id,source_time_index,day,formulation,solver,preconditioner,convergence,coarse_convergence,fine_convergence,physical_relative_residual,coarse_physical_relative_residual,fine_physical_relative_residual,gauge_residual,compatibility_residual,a_tan,a_full,lower_bound_pass,coarse_action,fine_action,grid_relative_change,grid_refinement_pass,iteration_count,condition_proxy,log10_condition_proxy,minimum_log_q_mass,maximum_log_q_mass,log_q_range,unrepresentable_equilibrated_coefficient_count,accepted,density_floored_clipped_thresholded_or_truncated,final_test_accessed
56,design_000056,180,45.0,divided_log_density_central_difference,row-equilibrated sparse solve,"SuperLU ILU(drop=1e-05,fill=8)",True,True,True,0.16818356665218812,0.35265107341708307,0.16818356665218812,-2.197766877326682e-10,1.4950060520376326e-10,55700.87161369439,423605.7690009678,True,451291.34038161545,423605.7690009678,0.06535692713992383,True,700,inf,1275.9927347269038,-2947.824590086211,-9.742740335336388,2938.081849750875,0,False,False,False
56,design_000056,180,45.0,cosine_ritz_variational_mode_5,dense eigensolved Ritz normal equations,none,True,True,True,0.4331665433071377,0.4248898914390285,0.4331665433071377,-4.400298741425628e-10,1.4950060520376326e-10,55700.87161369439,421165.37934748974,True,421181.68898044777,421165.37934748974,3.8725008649328825e-05,True,1,4187.783986270679,3.621984271863023,-2947.824590086211,-9.742740335336388,2938.081849750875,,False,False,False
88,design_000088,0,0.0,native_unfloored_ic0_pcg_baseline,native PCG,native IC(0),False,False,False,0.5328921110475581,1197.9362444172034,0.5328921110475581,15.191447978116924,1.0757927719414764e-08,1291495.623141272,28678458587170.082,True,1436629960206720.0,28678458587170.082,49.09439248068329,False,1200,4.49423283715579e+307,307.6526555685888,-299915.9200825783,-2.664960713419248,299913.2551218649,,False,False,False
88,design_000088,0,0.0,equilibrated_log_conductance_finite_volume,row-equilibrated sparse solve,not attempted,False,False,False,inf,inf,inf,nan,1.0757927719414764e-08,1291495.623141272,nan,False,nan,nan,inf,False,0,inf,610.3273948194726,-299915.9200825783,-2.664960713419248,299913.2551218649,223588,False,False,False
88,design_000088,0,0.0,divided_log_density_central_difference,row-equilibrated sparse solve,none,False,True,False,inf,3666.3524843373493,inf,nan,1.0757927719414764e-08,1291495.623141272,nan,False,673590858184.5563,nan,inf,False,0,inf,130250.67174906809,-299915.9200825783,-2.664960713419248,299913.2551218649,0,False,False,False
88,design_000088,0,0.0,cosine_ritz_variational_mode_5,dense eigensolved Ritz normal equations,none,True,True,True,5.846711342066116,183.06865859276294,5.846711342066116,1.770947859094391e-07,1.0757927719414764e-08,1291495.623141272,69550993.8549856,True,5818589836.12964,69550993.8549856,82.65933416079501,False,1,407597047265.67084,11.610231029208602,-299915.9200825783,-2.664960713419248,299913.2551218649,,False,False,False
88,design_000088,10,2.5,native_unfloored_ic0_pcg_baseline,native PCG,native IC(0),False,False,False,151832.96611248815,975499.5449168572,151832.96611248815,-339579.0816326526,2.1576254373978407e-14,8002967.469791693,8.035326521201163e+18,True,1.1308513457464209e+20,8.035326521201163e+18,13.07349586557156,False,1200,4.49423283715579e+307,307.6526555685888,-289378.8349590534,-4.26233695676504,289374.57262209663,,False,False,False
88,design_000088,10,2.5,equilibrated_log_conductance_finite_volume,row-equilibrated sparse solve,not attempted,False,False,False,inf,inf,inf,nan,2.1576254373978407e-14,8002967.469791693,nan,False,nan,nan,inf,False,0,inf,7676.24134728458,-289378.8349590534,-4.26233695676504,289374.57262209663,86884,False,False,False
88,design_000088,10,2.5,divided_log_density_central_difference,row-equilibrated sparse solve,none,False,True,False,inf,1.4951599929884165,inf,nan,2.1576254373978407e-14,8002967.469791693,nan,False,2600551461.065109,nan,inf,False,0,inf,125673.78009288837,-289378.8349590534,-4.26233695676504,289374.57262209663,0,False,False,False
88,design_000088,10,2.5,cosine_ritz_variational_mode_5,dense eigensolved Ritz normal equations,none,True,True,True,6.647900855156954,5.394779098392912,6.647900855156954,3.721113144192344e-06,2.1576254373978407e-14,8002967.469791693,236861665.9415077,True,386069221.6322076,236861665.9415077,0.6299354312890219,False,1,358271712922.6058,11.554212520120947,-289378.8349590534,-4.26233695676504,289374.57262209663,,False,False,False
