design_id,style,sigma_km,validation_mmd_risk,bootstrap_risk_se,minimum_ess_fraction,median_ess_fraction,worst_covariance_condition_raw,worst_covariance_condition_regularized,minimum_covariance_eigenvalue,projection_failure_count,conditioning_warning_count,mean_projection_kl,max_moment_residual,max_native_iterations,feasible,s1_x_km,s1_y_km,s2_x_km,s2_y_km,s3_x_km,s3_y_km,s4_x_km,s4_y_km
design_000301,longitudinal_stratified,200.0,0.03287477,0.01230453,0.005981183009937054,0.8356801270003786,1.8090486342628755e+35,202164926.43468165,1.9200877789762716e-37,7,8,0.9344027317939934,0.45014307400272235,200,False,-20.81689813718822,215.58925515829645,220.4985525591207,-501.69185469499433,499.10734881182395,188.33379176756898,1720.491289380367,-379.3379860298755
design_000041,support_random,200.0,0.03294556,0.014014526,0.04554096441542042,0.7527741712103531,9.60558196833576e+31,100714389.8159064,2.0205236859636085e-34,6,6,0.518236123353226,0.4493786825102729,200,False,444.53063110142864,-189.29741244803577,-410.7507336832476,-329.9925389110138,55.43282203337448,-374.349763685577,1637.2910148564526,-190.8392928776256
design_000110,support_random,200.0,0.03302754,0.016892675,0.02404036680431556,0.7847366084994609,370242266866603.5,313035605.129461,4.1386476318596915e-17,4,4,0.5682742206347277,0.5922676444889363,200,False,623.053426784008,-124.19812472576635,-187.09365101014805,43.74677563649482,1089.4577665727145,42.62871766037462,384.0081098821468,-48.27392518503342
design_000230,longitudinal_stratified,200.0,0.033078216,0.009606296,0.005013836164722947,0.7915472512550996,2.01804213628173e+19,18482249.36990663,5.794607209471214e-22,4,4,1.1531164681066683,0.5686415293659153,200,False,-296.1794941963314,-353.59081207138934,77.95869370340702,-543.4043905194179,515.0844560297506,111.64523853016752,1230.5097067585918,193.90262493762367
design_000396,lateral_discriminating,200.0,0.03318966,0.02130725,0.009723435557767255,0.6802276733814545,185437673.92722443,75315684.9773812,2.1793053310355085e-10,3,0,0.6230187807206855,0.22608018183223128,200,False,674.717511733254,-565.9736944063287,522.3549647233046,-230.47923267847727,367.77116491082114,122.23968043675711,516.491456575922,543.9401617798295
design_000018,support_random,200.0,0.033276528,0.0066572893,0.005149853021154009,0.59149964378758,1.1431974579334489e+21,29017039.37868469,3.722106722005526e-24,5,4,1.3669963913939807,0.6463818563415362,200,False,-90.97647794406971,368.9042638788177,-29.646403539641184,16.96576204392572,148.5928994335805,203.69485454037567,1288.2958704631728,261.47068016355473
design_000168,support_random,200.0,0.03339281,0.011236391,0.0051586417980018714,0.625601766517668,2.20877890967357e+22,175411665.74851677,2.8581268007145898e-25,5,5,0.6667399473166459,0.6287927160535352,200,False,497.6346447929642,74.27204688665307,812.8809099337667,166.77699039451693,1352.4079255894355,1.4587350520240818,186.68528134892196,125.25160872082229
design_000012,support_random,200.0,0.033410735,0.01789071,0.015834479959498302,0.8974541206864143,2872713701746931.5,163298230.90993008,2.4217839297093523e-18,4,4,0.5259340957492175,0.45108503447922565,200,False,605.7423186777089,210.11240998728468,1071.9819404305492,118.93213155427242,192.32889854616656,-235.9268352655097,297.77869244629335,39.85045927225555
design_000452,upstream_focused,200.0,0.033439863,0.014974671,0.005610764095419992,0.8570236714720267,14824680.203743266,7200922.409399634,9.445370122778935e-10,3,0,0.5506251682891189,0.5654346121575259,200,False,218.83101849079628,387.8613659008374,-327.3704184154607,-594.5487847311276,-149.74127004011916,13.534215646567873,698.5196001658803,235.8089234233347
design_000045,support_random,200.0,0.033505432,0.011795555,0.02997343169066365,0.6823499721742002,3313557.0999529017,2338317.2982021444,2.397683414893837e-09,2,0,0.47922453706074597,0.486693388433265,200,False,-149.3631469711213,-576.1155510856229,656.5245412521391,59.898010202762535,109.97545518617953,-12.657249772152653,353.89695627251723,85.11437432840549
design_000361,lateral_discriminating,200.0,0.033575643,0.014507591,0.005309454403054318,0.6579621022424118,373696179.364134,37997517.86156575,1.131893606351929e-10,3,0,1.2093788867142072,0.447976045407695,200,False,280.1496170073577,-591.5898910628932,162.27497746985125,-140.45088904867475,338.6293257772629,203.2480788478793,-42.77358156397321,592.3323788822993
design_000446,upstream_focused,200.0,0.03358872,0.018725501,0.014149840803907056,0.780347968056426,44262830.1294629,6845415.166662791,1.8294727664827755e-10,3,0,0.4335556202073834,0.3232094872511358,200,False,136.37220043265864,53.50424858343797,561.6807817768691,493.49217116693035,700.0199017165626,258.325836136367,421.0669129943491,-144.27661641967364
design_000267,longitudinal_stratified,200.0,0.03360389,0.008406802,0.005029926311454869,0.6543686170324943,7.20520377178358e+17,202455689.26182798,2.023303880386329e-20,5,4,0.817476725449775,0.5024067365276773,200,False,-65.55057455073262,-86.0554298848673,257.61624747507136,13.519153933679522,568.4909092234986,156.65462620399643,1151.7415566508546,327.6571520111981
design_000326,longitudinal_stratified,200.0,0.033625025,0.0066842283,0.005047327983068609,0.7577116391988821,5.37186189300884e+18,49039548.46252545,2.493155532335088e-21,5,4,1.4078045075460042,0.7170398987347342,200,False,-77.14640552853008,-21.754980113986846,172.578326866032,-128.33761565226857,463.32576358494606,176.5903323310961,1183.831640520401,232.4779310669274
design_000501,uniform_control,200.0,0.03371911,0.014428397,0.010284666834027435,0.9702348953757732,7.138073317690551e+29,71259677.36024743,1.6494047167551657e-32,7,7,0.5576883433650812,0.3034103086947115,200,False,5.139597710594558,377.7619469101469,1109.3602464291955,-704.2431044098397,759.9252960966926,320.0858850421587,1451.338682783379,-769.8500834623256
design_000325,longitudinal_stratified,200.0,0.0338985,0.012917815,0.0050061256967734915,0.6942872743824973,2.3152508294694067e+20,171561168.03594035,5.360465332388725e-23,5,4,0.7339755613562118,0.5260669454340147,200,False,-162.7857492779902,8.381547174060387,284.10378939805236,499.0160048840279,714.3443889520439,48.37272753877144,1245.0691457864314,94.21329021213951
design_000090,support_random,200.0,0.0341249,0.013254127,0.019666016500975228,0.8087522372699799,29940.126658980258,29905.076420631325,8.531775482645651e-07,2,0,0.5229299166738461,0.7820811745323987,200,False,473.7571903101393,188.44135966534157,233.54926937681554,111.20100145219473,-184.38890811258025,-363.9342088942956,343.24506616571273,-163.78056475881922
