design_index,design_id,source_time_index,day,production_case_valid,diagnostic_reasons,full_action_density,tangent_action_density,log_action_robust_z_score,maximum_relative_rank_action_change,scaled_weak_relative_residual,compatibility_relative_residual,adaptive_quadrature_required,adaptive_quadrature_valid,density_modified,operator_floor,final_test_accessed
221,design_000221,27,6.75,False,rank_sensitivity,239337918.59711286,13447762.332806317,3.1238200791961406,0.1588740152520631,7.139910280559692e-21,1.2171973049747095e-15,False,False,False,0.0,False
221,design_000221,28,7.0,False,rank_sensitivity,111064370.46369614,5464544.888336546,2.4248713144150513,0.09655583463766987,1.845317589335061e-21,2.0164032836960299e-16,False,False,False,0.0,False
221,design_000221,29,7.250000000000001,False,rank_sensitivity,68406362.03117134,3466262.7037365176,2.155823897607175,0.07568277835105575,0.0,1.7583602293369652e-15,False,False,False,0.0,False
221,design_000221,30,7.5,False,rank_sensitivity,47125276.461270414,2580611.444297865,1.6404700328929678,0.06659083870220765,1.942628001352218e-21,9.969258202537178e-16,False,False,False,0.0,False
221,design_000221,31,7.75,False,rank_sensitivity,34230582.9454735,2110976.0499383165,1.8495486691547087,0.06226255457152743,1.6155597388743004e-20,1.043056607707941e-15,False,False,False,0.0,False
221,design_000221,32,8.0,False,rank_sensitivity,26018541.072927497,1859963.955089311,1.2080197034466282,0.06436837221228547,1.6354992185291152e-23,3.1791440960849713e-16,False,False,False,0.0,False
221,design_000221,33,8.25,False,rank_sensitivity,20334235.31957773,1732475.9049023578,1.3516975861772929,0.06241889901377765,0.0,1.970314607054385e-16,False,False,False,0.0,False
223,design_000223,11,2.75,False,rank_sensitivity,21341101.9775446,3110474.5835338207,0.7602822269576883,0.05562973961793195,2.2306930326263166e-20,3.5959347802984837e-17,False,False,False,0.0,False
223,design_000223,12,3.0,False,rank_sensitivity,19454896.471251998,2457046.429163084,0.8417796180214465,0.05270115127284731,8.818469003544543e-23,2.0061709388766182e-14,False,False,False,0.0,False
223,design_000223,28,7.0,False,rank_sensitivity,488619726.47030765,13537631.727902327,3.7800043819049094,0.2598980018130164,7.923632817012456e-21,1.4218491748852873e-16,False,False,False,0.0,False
223,design_000223,29,7.250000000000001,False,rank_sensitivity,255090499.95652476,5931313.465935471,3.4044412727094184,0.3064263413806793,7.384373882078529e-22,7.401718790629108e-16,False,False,False,0.0,False
223,design_000223,30,7.5,False,rank_sensitivity,170250394.3004054,4047074.327132037,2.780219119896182,0.3345499718439309,4.969537244820415e-20,1.2705025230153361e-17,False,False,False,0.0,False
223,design_000223,31,7.75,False,rank_sensitivity,113139211.0844287,3211052.7293041414,3.113865377060704,0.3100348326258093,5.1804921741612226e-20,1.0060397255811659e-16,False,False,False,0.0,False
