design_index,design_id,dense_target_range_valid,dense_target_joint_feasible,domain_grid_hull_maximum_violation,domain_grid_worst_target_lp_linf_residual,domain_grid_resolution,minimum_smoothed_moment,maximum_smoothed_moment,minimum_raw_moment,classification,failure_reason
143,design_000143,True,True,-8.187480919705223e-09,2.897805208861971e-12,128x68,3.7204539487374526e-09,0.7371126303656826,3.654976366768007e-11,pending_dense_projection,
69,design_000069,True,True,-5.932621652565782e-09,2.554095887511751e-10,128x68,1.5076773867594857e-13,0.6046513278021127,6.297404012399673e-17,pending_dense_projection,
168,design_000168,True,True,-6.674440912042012e-09,7.179009073809374e-10,128x68,1.0852287497023943e-09,0.5599120647039186,7.626294741194537e-12,pending_dense_projection,
292,design_000292,True,True,-1.3632092796714466e-06,2.117582368135751e-22,128x68,1.7139912168116813e-06,0.6554027103690226,7.718387599741323e-08,pending_dense_projection,
38,design_000038,True,True,-0.001285790940191405,1.1102230246251565e-16,128x68,0.00215615400330142,0.7458486385644375,0.0005174736923287047,pending_dense_projection,
251,design_000251,True,True,-6.912396124834245e-09,1.4462282762777241e-11,128x68,1.4255208330348645e-09,0.8773127369419792,8.704783289217537e-12,pending_dense_projection,
13,design_000013,True,True,-6.023922309196867e-09,2.836359135691822e-12,128x68,2.9055334988672085e-12,0.2584262621964837,5.579855537665792e-15,pending_dense_projection,
342,design_000342,True,True,-6.280651061901964e-08,1.3305066400159593e-12,128x68,9.044585764336505e-09,0.8454138348577769,1.0225789203014058e-10,pending_dense_projection,
270,design_000270,True,True,-6.033976051543221e-10,4.660852291027572e-11,128x68,5.1676207171464864e-11,0.837476670788646,1.1681746891455869e-13,pending_dense_projection,
200,design_000200,True,True,-6.027675638156956e-09,1.3926532087949184e-15,128x68,1.5989780014032831e-15,0.20777468595955279,1.5505210279577973e-19,pending_dense_projection,
12,design_000012,True,True,-8.640404057819101e-07,5.551115123125783e-17,128x68,1.1116211953497672e-06,0.5245912628942094,4.3105558874818494e-08,pending_dense_projection,
286,design_000286,True,True,-0.0002541295047930746,1.6653345369377348e-16,128x68,0.0004749417271699981,0.6618716906810135,8.030392259074109e-05,pending_dense_projection,
221,design_000221,True,True,-6.929020034681987e-08,1.1102230246251565e-16,128x68,6.772332428619393e-08,0.7230099397038282,1.221130466146982e-09,pending_dense_projection,
272,design_000272,True,True,-1.5603616587458688e-06,5.551115123125783e-17,128x68,1.9242036231070233e-06,0.568414734832684,9.46621600774438e-08,pending_dense_projection,
139,design_000139,True,True,-2.1651166157959417e-06,5.551115123125783e-17,128x68,3.758245167674982e-06,0.6402235961608514,2.0056821136821104e-07,pending_dense_projection,
167,design_000167,True,True,-9.061173256679977e-09,3.612292399704121e-16,128x68,3.973948995713463e-09,0.23675920334088774,3.317697198660068e-11,pending_dense_projection,
255,design_000255,True,True,-7.630832277411542e-05,3.382710778154774e-17,128x68,9.453611632552962e-05,0.6201318852290689,1.1214509592816905e-05,pending_dense_projection,
32,design_000032,True,True,-5.989181164019807e-09,3.1017785298082645e-12,128x68,4.15198976244988e-11,0.6396070623077302,8.42842852607365e-14,pending_dense_projection,
