design_index,design_id,day,source_time_index,fully_grid_usable,validation_mmd2
19,design_000019,45.0,180,True,0.011466087847185582
20,design_000020,0.0,0,True,0.002370546840571291
20,design_000020,2.5,10,True,0.03406855814672815
20,design_000020,5.0,20,True,0.02189599459594477
20,design_000020,7.5,30,True,0.02577781901077563
20,design_000020,10.0,40,True,0.028473187925003026
20,design_000020,12.5,50,True,0.023334159566492756
20,design_000020,15.0,60,True,0.017416319083488487
20,design_000020,17.5,70,True,0.0089935659300961
20,design_000020,20.0,80,True,0.007765358978032152
20,design_000020,22.5,90,True,0.007306420223727737
20,design_000020,25.0,100,True,0.006209383629192858
20,design_000020,27.5,110,True,0.006205694168512197
20,design_000020,30.0,120,True,0.00432198040824309
20,design_000020,32.5,130,True,0.0071037048153752835
20,design_000020,35.0,140,True,0.008370319367697499
20,design_000020,37.5,150,True,0.00765519349724984
20,design_000020,40.0,160,True,0.009720580416564373
20,design_000020,42.5,170,True,0.009595139108427062
20,design_000020,45.0,180,True,0.010802063899379516
21,design_000021,0.0,0,True,0.002108312933625303
21,design_000021,2.5,10,True,0.006992237657774287
21,design_000021,5.0,20,True,0.017624662381512293
21,design_000021,7.5,30,True,0.04243453466901617
21,design_000021,10.0,40,True,0.07772382279983679
21,design_000021,12.5,50,True,0.09067059469484286
21,design_000021,15.0,60,True,0.08520067865720221
21,design_000021,17.5,70,True,0.06004674897535258
21,design_000021,20.0,80,True,0.0424064763877271
21,design_000021,22.5,90,True,0.030708608134590275
21,design_000021,25.0,100,True,0.02207866127526378
21,design_000021,27.5,110,True,0.01712219786633266
21,design_000021,30.0,120,True,0.010061282411398623
21,design_000021,32.5,130,True,0.011204128481199841
21,design_000021,35.0,140,True,0.010840378930795851
21,design_000021,37.5,150,True,0.010789317274148525
21,design_000021,40.0,160,True,0.011737946359023126
21,design_000021,42.5,170,True,0.010897911021832088
21,design_000021,45.0,180,True,0.01167688865564774
22,design_000022,0.0,0,True,0.0020689517670678093
22,design_000022,2.5,10,True,0.010147748294295766
22,design_000022,5.0,20,True,0.004557548772088638
22,design_000022,7.5,30,True,0.006308798255806538
22,design_000022,10.0,40,True,0.01819632808184545
22,design_000022,12.5,50,True,0.027007592544553212
22,design_000022,15.0,60,True,0.03468422371762336
22,design_000022,17.5,70,True,0.03932683183889737
22,design_000022,20.0,80,True,0.036441427930457716
22,design_000022,22.5,90,True,0.03514334380231779
22,design_000022,25.0,100,True,0.023194196734026413
22,design_000022,27.5,110,True,0.010510587812778204
22,design_000022,30.0,120,True,0.0031836056931190725
22,design_000022,32.5,130,True,0.0014358780779327289
22,design_000022,35.0,140,True,0.0021758428261305154
22,design_000022,37.5,150,True,0.002622069804153197
22,design_000022,40.0,160,True,0.0038618322365018927
22,design_000022,42.5,170,True,0.004558266056084377
22,design_000022,45.0,180,True,0.006479408493510553
23,design_000023,0.0,0,True,0.002127194924316075
23,design_000023,2.5,10,True,0.04182490880524231
23,design_000023,5.0,20,True,0.01050282344221544
23,design_000023,7.5,30,True,0.013497507695049461
23,design_000023,10.0,40,True,0.025515929390582247
23,design_000023,12.5,50,True,0.03689833469218881
23,design_000023,15.0,60,True,0.03714615598682407
23,design_000023,17.5,70,True,0.02426201074450659
23,design_000023,20.0,80,True,0.013787132533548295
23,design_000023,22.5,90,True,0.012597388854029178
23,design_000023,25.0,100,True,0.00935928950610642
23,design_000023,27.5,110,True,0.004933043916578736
23,design_000023,30.0,120,True,0.0025970749269434786
23,design_000023,32.5,130,True,0.0017500278119779028
23,design_000023,35.0,140,True,0.003113187537423244
23,design_000023,37.5,150,True,0.004236095812172803
23,design_000023,40.0,160,True,0.006684755213524768
23,design_000023,42.5,170,True,0.008700618478865291
23,design_000023,45.0,180,True,0.010946075515930222
24,design_000024,0.0,0,True,0.0022153941929072647
24,design_000024,2.5,10,True,0.007035212100918337
24,design_000024,5.0,20,True,0.022028272886110638
24,design_000024,7.5,30,True,0.02276597569378838
24,design_000024,10.0,40,True,0.022359193741037287
24,design_000024,12.5,50,True,0.029401119093402043
24,design_000024,15.0,60,True,0.028852059994624327
24,design_000024,17.5,70,True,0.02294782382069783
24,design_000024,20.0,80,True,0.016664490803638132
24,design_000024,22.5,90,True,0.01569952660132004
24,design_000024,25.0,100,True,0.010303284572291406
24,design_000024,27.5,110,True,0.00670116846813814
24,design_000024,30.0,120,True,0.004227626944540015
24,design_000024,32.5,130,True,0.001460486716822805
24,design_000024,35.0,140,True,0.0012692088874642648
24,design_000024,37.5,150,True,0.0014989798041342708
24,design_000024,40.0,160,True,0.0033453261623685804
24,design_000024,42.5,170,True,0.0034118989207276994
24,design_000024,45.0,180,True,0.005892762621302552
25,design_000025,0.0,0,True,0.002315712251887052
25,design_000025,2.5,10,True,0.005807726444454308
25,design_000025,5.0,20,True,0.01291908140547846
25,design_000025,7.5,30,True,0.02271716048339987
25,design_000025,10.0,40,True,0.02724388631993901
25,design_000025,12.5,50,True,0.03206073370496918
25,design_000025,15.0,60,True,0.027875065432176365
25,design_000025,17.5,70,True,0.019465756471318256
25,design_000025,20.0,80,True,0.011785802423895523
25,design_000025,22.5,90,True,0.01008906250870306
25,design_000025,25.0,100,True,0.007093941023032944
25,design_000025,27.5,110,True,0.004159183038799367
