design_index,design_id,day,source_time_index,refinement_level,quadrature_cell_count,minimum_cell_width_x_km,minimum_cell_width_y_km,converged,iterations,reported_residual,verified_l2_residual,verified_linf_residual,lambda_0,lambda_1,lambda_2,lambda_3,lambda_norm,kl_divergence,intrinsic_ess,log10_intrinsic_ess,covariance_min_eigenvalue,covariance_max_eigenvalue,covariance_condition_regularized,maximum_quadrature_weight,solver_name,accepted_moment_residual,relative_lambda_change_from_previous,relative_kl_change_from_previous,log10_intrinsic_ess_change_from_previous,projected_moment_linf_change_from_previous,stable_under_additional_refinement,refined_parent_cell_count,refined_projected_mass
472,design_000472,2.5,10,1,146110,3.564453125,3.5845588235294117,True,3,2.207254807672853e-09,2.207254807672853e-09,2.2072546738498724e-09,4052.1839070822416,2324.427321022859,-1000000188.74663,-343034.7159328919,1000000247.5939368,10.846975651223405,0.0,-468.3669599467716,1.4990893925983039e-25,0.0005013594308115161,501359355653267.9,0.0007827531669123757,warm_start_covariance_trust_region,True,2.919614194656235e-07,0.0001285823255761617,0.0018112087864778914,3.081721026369083e-09,True,,
473,design_000473,2.5,10,0,139264,7.12890625,7.169117647058823,True,939,6.839765765945234e-10,6.839765765945234e-10,6.839226606292057e-10,513784.13617582805,-149891.60540723047,13579746.906191034,-2315722248.5205665,2315762126.8733144,21.629018662913214,0.0,-13996.171753088896,2.172633800965947e-18,9.550014026526076e-08,30101217555.327244,0.014940220243523494,native_zero_start,True,nan,nan,nan,nan,False,2262,0.9999000218438786
473,design_000473,2.5,10,1,146050,3.564453125,3.5845588235294117,True,739,6.613591420655403e-10,6.613591420655403e-10,6.613070389911896e-10,513780.7494553517,-149890.66824396577,13579622.915934378,-2315693354.0896516,2315733232.212076,21.628935519158105,0.0,-13996.12343717379,2.170589747044584e-18,9.55000943025003e-08,30120609073.601917,0.004103571223364608,native_zero_start,True,1.2477558621875448e-05,3.844098339262211e-06,0.04831591510628641,2.2615621638016136e-11,True,,
475,design_000475,2.5,10,0,139264,7.12890625,7.169117647058823,True,3,1.8047358280789834e-09,1.8047358280789834e-09,1.8047353994459283e-09,150491.55282406477,17489.712095274655,1120642.0856405413,-1000001175.2598901,1000001814.655075,16.054954939956502,4.331527372637089e-117,-116.36335893677744,9.007739626212137e-31,2.7637193152976777e-05,27637193152952.88,0.007583471977729144,warm_start_covariance_trust_region,True,nan,nan,nan,nan,False,2307,0.9999003558350968
475,design_000475,2.5,10,1,146185,3.564453125,3.5845588235294117,True,2,1.8042887170814748e-09,1.8042887170814748e-09,1.8042884014401066e-09,145715.41463019612,17489.729525057595,1115675.2973705805,-1000004318.1023806,1000004951.2345672,16.055399662970643,4.338820725373794e-117,-116.36262829400292,9.039089920322257e-31,2.7635563566354315e-05,27635563566330.336,0.0020811836580076925,warm_start_covariance_trust_region,True,7.573465039548715e-06,2.7699280209547036e-05,0.0007306427745277233,4.469980058216144e-13,True,,
477,design_000477,2.5,10,0,139264,7.12890625,7.169117647058823,True,3,6.581265154347537e-10,6.581265154347537e-10,6.581155632545442e-10,4419.077381535685,-3536287.8114729803,-2888.447938669873,-1000000014.0399266,1000006266.6999694,3.8083004320288047,0.0,-559.9187055768784,-1.47837748400257e-23,0.00042676676419575434,426773073512781.9,0.0035323396129476564,warm_start_covariance_trust_region,True,nan,nan,nan,nan,False,2159,0.9999005269888406
477,design_000477,2.5,10,1,145741,3.564453125,3.5845588235294117,True,3,6.59512676631767e-10,6.59512676631767e-10,6.595021364234996e-10,4418.765457612492,-3536303.0795726785,-2886.432653986179,-1000000035.0249159,1000006287.7388126,3.8069434669783107,0.0,-559.9525679472454,-1.582608593794109e-23,0.00042709017392178087,427096933194550.4,0.0008913960477955068,warm_start_covariance_trust_region,True,2.6031419304157e-08,0.0003564447600192923,0.03386237036693274,1.3865731689554532e-12,True,,
488,design_000488,5.0,20,0,139264,7.12890625,7.169117647058823,True,158,9.273319731672801e-10,9.273319731672801e-10,7.513397354361878e-10,1478.6394230918638,8234.900009545947,-4584644840.597157,-685851054.1877114,4635661763.223727,7.428286365457951,4.2321519141913095e-69,-68.37343875157993,6.412029802362712e-20,0.00011548476443767263,108526042264358.23,0.0058854751373597644,native_zero_start,True,nan,nan,nan,nan,False,4096,0.9988384842622178
488,design_000488,5.0,20,1,151552,3.564453125,3.5845588235294117,True,158,9.082815104672799e-10,9.082815104672799e-10,7.353833798417336e-10,1478.6429382105512,8234.920942733119,-4584580571.311235,-685863489.1759182,4635600041.062539,7.428345339501949,4.323929670730973e-69,-68.36412137851656,6.399471712067774e-20,0.00011547768954991534,108532201985377.83,0.0015152802502712654,native_zero_start,True,1.4121410313255685e-05,7.939055240855968e-06,0.009317373063367995,1.5956355594454186e-11,True,,
494,design_000494,2.5,10,0,139264,7.12890625,7.169117647058823,True,3,1.517271602552007e-09,1.517271602552007e-09,1.517271586033817e-09,3669.3547176802513,-1000000054.750875,-6402.355104391511,-19684.290251697283,1000000054.9718378,15.370227271546579,1.3353889200644404e-302,-301.87439223149835,-4.752863130593849e-30,0.002515764978114415,2515764978126373.0,0.0068318760615301,warm_start_covariance_trust_region,True,nan,nan,nan,nan,False,2198,0.9999003135761635
494,design_000494,2.5,10,1,145858,3.564453125,3.5845588235294117,True,3,1.51733275125851e-09,1.51733275125851e-09,1.5173327509478435e-09,3669.1427048084706,-1000000281.9734454,-6401.423563965438,-20015.141109230437,1000000282.2009687,15.370160198694515,1.3300235500757808e-302,-301.87614066912505,-3.481720968253337e-30,0.00251580846742623,2515808467434990.0,0.001986179849514071,warm_start_covariance_trust_region,True,4.01364184044957e-07,4.363835587688222e-06,0.0017484376267020707,1.956056844276688e-13,True,,
495,design_000495,2.5,10,0,139264,7.12890625,7.169117647058823,True,3,4.126096586414693e-10,4.126096586414693e-10,4.1260901656928874e-10,474743.34474062116,-42208.4660224666,-1000000006.626524,1163.6207283335546,1000000120.2085927,8.030418947331382,0.0,-6361.253023629932,-1.1826744062027487e-27,0.0030108548186724192,3010854822233281.0,0.003103747087758372,warm_start_covariance_trust_region,True,nan,nan,nan,nan,False,2331,0.9999000128637928
495,design_000495,2.5,10,1,146257,3.564453125,3.5845588235294117,True,2,4.1833062434485593e-10,4.1833062434485593e-10,4.1259917520884216e-10,474742.63660822116,-42209.26272012724,-1000000007.2482885,1163.6210644568962,1000000120.8300546,8.030432624337076,0.0,-6361.203225608337,-1.1799836480030567e-27,0.0030108488808726105,3010848884425363.5,0.000783679716701987,warm_start_covariance_trust_region,True,1.2340054892208485e-09,1.7031468082896063e-06,0.04979802159505198,6.839649853429552e-11,True,,
500,design_000500,2.5,10,0,139264,7.12890625,7.169117647058823,True,3,2.163027376440166e-09,2.163027376440166e-09,2.1630273638425355e-09,-3.714703877362906,4174.045228950914,-1000000026.0467942,-76.9388014656211,1000000026.0555085,26.795476085873915,8.252875657229681e-118,-117.08339469818227,4.333784149920959e-18,0.08830945956908132,1.655662416905078e+16,0.008899204506326622,warm_start_covariance_trust_region,True,nan,nan,nan,nan,False,2712,0.9999004018879178
500,design_000500,2.5,10,1,147400,3.564453125,3.5845588235294117,True,2,2.163012494118094e-09,2.163012494118094e-09,2.1630106309643334e-09,-3.7147223332926695,4174.045536551291,-1000000027.8185341,-76.93817390249828,1000000027.8272485,26.795138165811167,7.9198116307840675e-118,-117.10128514778978,4.360853862288851e-18,0.088309367155354,1.6473004007173166e+16,0.0022465991320665436,warm_start_covariance_trust_region,True,1.7717400483559656e-09,1.2611245392978129e-05,0.017890449607506298,2.573941060290963e-12,True,,
507,design_000507,2.5,10,0,139264,7.12890625,7.169117647058823,True,3,2.4654301692271502e-09,2.4654301692271502e-09,2.4112016052457617e-09,4088.204579404942,3.324588214241471,-120134880.69267128,-1000000007.1541177,1007190351.3656151,19.48006392256849,4.581716567982708e-217,-216.3389717804387,1.827055508439228e-19,0.0007572501616826494,640269390079646.0,0.0068532642353910855,warm_start_covariance_trust_region,True,nan,nan,nan,nan,False,2379,0.9999005039506583
507,design_000507,2.5,10,1,146401,3.564453125,3.5845588235294117,True,2,2.441005913708995e-09,2.441005913708995e-09,2.4111510025928326e-09,4088.2053597329636,3.3251222602524058,-120134901.62918782,-1000000035.3040879,1007190381.8118722,19.480117771630898,4.580534271898244e-217,-216.33908386308678,1.8255038023909125e-19,0.0007572431440768599,640347469951985.8,0.0019269257538281513,warm_start_covariance_trust_region,True,3.483171516561151e-08,2.7643088732129088e-06,0.00011208264808715285,3.2334070403788884e-10,True,,
