design_index,design_id,bandwidth_low_days,bandwidth_nominal_days,bandwidth_high_days,observation_time_rmse,observation_time_maximum_absolute_error,minimum_reconstructed_moment,maximum_reconstructed_moment,maximum_absolute_derivative_per_normalized_time,derivative_all_finite,coarse_derivative_energy_per_day,refined_derivative_energy_per_day,temporal_grid_refinement_relative_energy_change
251,design_000251,0.5,0.75,1.0,0.0036839056829754144,0.0434222023428531,1.4255208330348645e-09,0.8773127369419792,5.9156293697400315,True,0.05376552834785625,0.05377740140287579,0.00022078149389541044
74,design_000074,0.5,0.75,1.0,0.007577205029303773,0.10916839746650486,3.9210268054368933e-07,0.7339513437606129,5.159652096649984,True,0.06314117761960326,0.06318299093208528,0.0006617811513063512
272,design_000272,0.5,0.75,1.0,0.006025714392200352,0.08636660424510056,1.9242036231070233e-06,0.568414734832684,5.2937050025921435,True,0.0581316971491927,0.05817264032450534,0.0007038218496571608
286,design_000286,0.5,0.75,1.0,0.007018749784877029,0.11619564947352778,0.0004749417271699981,0.6618716906810135,5.185340422423411,True,0.05251968751667975,0.05256095841728758,0.0007852006860334035
202,design_000202,0.5,0.75,1.0,0.002974820553504266,0.03802471911202898,3.878059804907701e-09,0.6204262996631711,4.54705391273904,True,0.03169102634367614,0.03170129699831457,0.00032398215880481403
430,design_000430,0.5,0.75,1.0,0.005076755736552256,0.07773184176182857,0.00015454697780823562,0.7043837512473087,3.7322255612727364,True,0.03994720275623325,0.039957782288641414,0.0002647677574230697
65,design_000065,0.5,0.75,1.0,0.007653364916832082,0.09862739367384432,1.988908274871001e-06,0.7318227204567763,5.594441101193141,True,0.09042325406771663,0.0904819509765258,0.0006487140051212183
332,design_000332,0.5,0.75,1.0,0.007885554716686699,0.1159395606664978,3.3524816746582184e-10,0.6806184392332503,6.620318169701134,True,0.07385319347501684,0.07391740647542362,0.0008687128440867181
330,design_000330,0.5,0.75,1.0,0.004130713783140927,0.03614621872171775,1.673985469432899e-11,0.7319209461724988,4.822818497416848,True,0.07984350866942788,0.07985715007116473,0.00017082254656834578
221,design_000221,0.5,0.75,1.0,0.006145998529955942,0.11338521121794432,6.772332428619393e-08,0.7230099397038282,4.880863141478116,True,0.06376717267701684,0.06379567895582057,0.0004468371411717195
32,design_000032,0.5,0.75,1.0,0.006005873760186615,0.1089764286738899,4.15198976244988e-11,0.6396070623077302,3.7752431024722934,True,0.039152016607631235,0.03917443609457967,0.0005722989067234513
168,design_000168,0.5,0.75,1.0,0.005383214793325991,0.0893776869332103,1.0852287497023943e-09,0.5599120647039186,4.886792134344872,True,0.04856346835199073,0.048590606644748936,0.0005585090335796882
435,design_000435,0.5,0.75,1.0,0.005293592876318311,0.0540166833681448,0.005730763228409703,0.8722884108621654,6.600764119227321,True,0.0911417757779651,0.09117451271586267,0.0003590579968284818
126,design_000126,0.5,0.75,1.0,0.0056876895048216455,0.09461252978121693,0.0003118469073776274,0.715032977999657,6.513210511309613,True,0.066419796098027,0.06645794714004868,0.0005740629023836864
449,design_000449,0.5,0.75,1.0,0.006743415705727847,0.10606120097031546,0.00146769348782277,0.5341741042199006,5.485344082569203,True,0.0699375831450261,0.0699840375688798,0.0006637859927413021
12,design_000012,0.5,0.75,1.0,0.006405112598149146,0.08283940117924335,1.1116211953497672e-06,0.5245912628942094,5.773739548855875,True,0.055123607182649303,0.05515924135273279,0.0006460235712020571
236,design_000236,0.5,0.75,1.0,0.007176668237035285,0.11810265899211397,5.156413921836622e-06,0.6986050718288448,4.86256687338175,True,0.07802022142996189,0.07805826414533133,0.0004873630714951223
283,design_000283,0.5,0.75,1.0,0.006821896649864615,0.08149813763876118,2.723240410703828e-10,0.6183432399475828,4.509659596951792,True,0.053132408447989526,0.05316505904958795,0.0006141364682388899
