design_id,style,feasible_repeat_count,feasible_all_repeats,mean_valid_fold_risk,std_valid_fold_risk,repeat_0_risk,repeat_1_risk,repeat_2_risk,repeat_0_feasible,repeat_1_feasible,repeat_2_feasible
design_000183,support_random,0,False,nan,nan,0.06124572455883026,0.08588153123855591,0.0456291139125824,False,False,False
design_000184,support_random,0,False,nan,nan,0.054297804832458496,0.05503767356276512,0.0374225415289402,False,False,False
design_000185,support_random,0,False,nan,nan,0.020047252997756004,0.026911308988928795,0.029805807396769524,False,False,False
design_000186,support_random,0,False,nan,nan,0.01831396110355854,0.03132547438144684,0.03301629424095154,False,False,False
design_000187,support_random,0,False,nan,nan,0.020567404106259346,0.030505672097206116,0.02823796309530735,False,False,False
design_000188,support_random,0,False,nan,nan,0.17523688077926636,0.06382758915424347,0.05616113916039467,False,False,False
design_000189,support_random,0,False,nan,nan,0.0474470853805542,0.06901673227548599,0.06040925905108452,False,False,False
design_000190,support_random,0,False,nan,nan,0.034553755074739456,0.04384429007768631,0.03220177814364433,False,False,False
design_000191,support_random,0,False,nan,nan,0.039661966264247894,0.049833428114652634,0.031062070280313492,False,False,False
design_000192,support_random,0,False,nan,nan,0.03559014946222305,0.04284309595823288,0.08963233232498169,False,False,False
design_000193,support_random,0,False,nan,nan,0.03115968592464924,0.03587478771805763,0.03067760355770588,False,False,False
design_000195,support_random,0,False,nan,nan,0.05611874535679817,0.06030356138944626,0.04199744760990143,False,False,False
design_000196,support_random,0,False,nan,nan,0.045232970267534256,0.06672844290733337,0.050479400902986526,False,False,False
design_000197,support_random,0,False,nan,nan,0.09449336677789688,0.16064806282520294,0.11260515451431274,False,False,False
design_000198,support_random,0,False,nan,nan,0.060361623764038086,0.04924009367823601,0.04146096855401993,False,False,False
design_000199,support_random,0,False,nan,nan,0.030441388487815857,0.03885279968380928,0.04016130045056343,False,False,False
design_000200,support_random,0,False,nan,nan,0.08177223056554794,0.09210623800754547,0.043944135308265686,False,False,False
design_000201,support_random,0,False,nan,nan,0.02099938690662384,0.024849453940987587,0.016849402338266373,False,False,False
design_000202,support_random,0,False,nan,nan,0.06524022668600082,0.06385964900255203,0.05576884746551514,False,False,False
design_000203,support_random,0,False,nan,nan,0.036016155034303665,0.04250575229525566,0.036541298031806946,False,False,False
design_000204,support_random,0,False,nan,nan,0.050814758986234665,0.05079029127955437,0.03454983979463577,False,False,False
design_000205,support_random,0,False,nan,nan,0.04579663649201393,0.04449848830699921,0.05277300998568535,False,False,False
design_000206,support_random,0,False,nan,nan,0.03562300279736519,0.04702359437942505,0.040181148797273636,False,False,False
design_000207,support_random,0,False,nan,nan,0.050642065703868866,0.053258612751960754,0.04645412787795067,False,False,False
design_000208,support_random,0,False,nan,nan,0.02176142856478691,0.03400334715843201,0.04401220753788948,False,False,False
design_000209,support_random,0,False,nan,nan,0.03618611767888069,0.04470130801200867,0.038928743451833725,False,False,False
design_000210,support_random,0,False,nan,nan,0.0878656879067421,0.061388347297906876,0.07227770984172821,False,False,False
design_000211,support_random,0,False,nan,nan,0.05031321570277214,0.06261085718870163,0.04632360488176346,False,False,False
design_000212,support_random,0,False,nan,nan,0.022193321958184242,0.02685164101421833,0.030210820958018303,False,False,False
design_000213,support_random,0,False,nan,nan,0.025152796879410744,0.031258631497621536,0.03776936233043671,False,False,False
design_000214,support_random,0,False,nan,nan,0.07388502359390259,0.08558648824691772,0.06578351557254791,False,False,False
design_000215,support_random,0,False,nan,nan,0.07309649139642715,0.15866999328136444,0.13322599232196808,False,False,False
design_000216,support_random,0,False,nan,nan,0.04317222535610199,0.05225337669253349,0.06363993883132935,False,False,False
design_000217,support_random,0,False,nan,nan,0.06006583943963051,0.07775597274303436,0.06244169920682907,False,False,False
design_000218,support_random,0,False,nan,nan,0.031006377190351486,0.037671998143196106,0.02724454365670681,False,False,False
design_000219,support_random,0,False,nan,nan,0.04934313893318176,0.02845901809632778,0.04858081787824631,False,False,False
design_000220,support_random,0,False,nan,nan,0.15858051180839539,0.1045822948217392,0.06182170659303665,False,False,False
design_000221,longitudinal_stratified,0,False,nan,nan,0.035437606275081635,0.034242235124111176,0.029816007241606712,False,False,False
design_000222,longitudinal_stratified,0,False,nan,nan,0.025102561339735985,0.04101615771651268,0.03443289175629616,False,False,False
design_000223,longitudinal_stratified,0,False,nan,nan,0.03057323582470417,0.0663786306977272,0.08509926497936249,False,False,False
design_000224,longitudinal_stratified,0,False,nan,nan,0.02273869514465332,0.0380997397005558,0.03203010931611061,False,False,False
design_000225,longitudinal_stratified,0,False,nan,nan,0.031521230936050415,0.03341766074299812,0.037971336394548416,False,False,False
design_000226,longitudinal_stratified,0,False,nan,nan,0.035336919128894806,0.0466868132352829,0.04058742895722389,False,False,False
design_000227,longitudinal_stratified,0,False,nan,nan,0.025051115080714226,0.047750964760780334,0.019559919834136963,False,False,False
design_000228,longitudinal_stratified,0,False,nan,nan,0.058960746973752975,0.07798991352319717,0.06320629268884659,False,False,False
design_000229,longitudinal_stratified,0,False,nan,nan,0.03654729947447777,0.06725075840950012,0.3238508999347687,False,False,False
design_000230,longitudinal_stratified,0,False,nan,nan,0.03307821601629257,0.058019425719976425,0.033181026577949524,False,False,False
