case,design_id,design_index,style,day,source_time_index,original_failure_reason,original_newton_residual,nominal_particle_count,unique_reference_paths,duplicate_paths_collapsed,coordinate_support_margin,exact_lp_success,minimum_linf_residual,minimum_l2_residual_at_linf_solution,active_weight_count,maximum_weight,lp_status
9,design_000392,392,lateral_discriminating,2.5,10,native_nonconvergence;moment_residual;coordinate_support_infeasible,0.00024177778997609765,50000,200,49800,-0.0001645480110650882,False,0.0001645480110650882,0.00020076509909351282,1,1.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
9,design_000392,392,lateral_discriminating,2.5,10,native_nonconvergence;moment_residual;coordinate_support_infeasible,0.00024177778997609765,200000,200,199800,-0.0001645480110650882,False,0.0001645480110650882,0.00020076509909351282,1,1.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
10,design_000403,403,lateral_discriminating,2.5,10,native_nonconvergence;moment_residual;low_ess,0.0343983801201991,2000,200,1800,0.018200694880102612,False,0.005587802760058894,0.01079268721073988,3,0.7951293765901268,Optimization terminated successfully. (HiGHS Status 7: Optimal)
10,design_000403,403,lateral_discriminating,2.5,10,native_nonconvergence;moment_residual;low_ess,0.0343983801201991,10000,200,9800,0.018200694880102612,False,0.005587802760058894,0.01079268721073988,3,0.7951293765901268,Optimization terminated successfully. (HiGHS Status 7: Optimal)
10,design_000403,403,lateral_discriminating,2.5,10,native_nonconvergence;moment_residual;low_ess,0.0343983801201991,50000,200,49800,0.018200694880102612,False,0.005587802760058894,0.01079268721073988,3,0.7951293765901268,Optimization terminated successfully. (HiGHS Status 7: Optimal)
10,design_000403,403,lateral_discriminating,2.5,10,native_nonconvergence;moment_residual;low_ess,0.0343983801201991,200000,200,199800,0.018200694880102612,False,0.005587802760058894,0.01079268721073988,3,0.7951293765901268,Optimization terminated successfully. (HiGHS Status 7: Optimal)
11,design_000424,424,upstream_focused,2.5,10,native_nonconvergence;moment_residual;low_ess;coordinate_support_infeasible,0.10115835482770216,2000,200,1800,-0.015985222639411968,False,0.04920058928858123,0.07926128735319708,2,0.702900332368603,Optimization terminated successfully. (HiGHS Status 7: Optimal)
11,design_000424,424,upstream_focused,2.5,10,native_nonconvergence;moment_residual;low_ess;coordinate_support_infeasible,0.10115835482770216,10000,200,9800,-0.015985222639411968,False,0.04920058928858123,0.07926128735319708,2,0.702900332368603,Optimization terminated successfully. (HiGHS Status 7: Optimal)
11,design_000424,424,upstream_focused,2.5,10,native_nonconvergence;moment_residual;low_ess;coordinate_support_infeasible,0.10115835482770216,50000,200,49800,-0.015985222639411968,False,0.04920058928858123,0.07926128735319708,2,0.702900332368603,Optimization terminated successfully. (HiGHS Status 7: Optimal)
11,design_000424,424,upstream_focused,2.5,10,native_nonconvergence;moment_residual;low_ess;coordinate_support_infeasible,0.10115835482770216,200000,200,199800,-0.015985222639411968,False,0.04920058928858123,0.07926128735319708,2,0.702900332368603,Optimization terminated successfully. (HiGHS Status 7: Optimal)
12,design_000460,460,upstream_focused,2.5,10,native_nonconvergence;moment_residual;low_ess,0.42021132801928773,2000,200,1800,0.025784516087054947,False,0.005190501419322979,0.010381002838645018,4,0.7560630214823366,Optimization terminated successfully. (HiGHS Status 7: Optimal)
12,design_000460,460,upstream_focused,2.5,10,native_nonconvergence;moment_residual;low_ess,0.42021132801928773,10000,200,9800,0.025784516087054947,False,0.005190501419322979,0.010381002838645018,4,0.7560630214823366,Optimization terminated successfully. (HiGHS Status 7: Optimal)
12,design_000460,460,upstream_focused,2.5,10,native_nonconvergence;moment_residual;low_ess,0.42021132801928773,50000,200,49800,0.025784516087054947,False,0.005190501419322979,0.010381002838645018,4,0.7560630214823366,Optimization terminated successfully. (HiGHS Status 7: Optimal)
12,design_000460,460,upstream_focused,2.5,10,native_nonconvergence;moment_residual;low_ess,0.42021132801928773,200000,200,199800,0.025784516087054947,False,0.005190501419322979,0.010381002838645018,4,0.7560630214823366,Optimization terminated successfully. (HiGHS Status 7: Optimal)
13,design_000363,363,lateral_discriminating,5.0,20,native_nonconvergence;moment_residual;low_ess,0.1738492766996992,2000,200,1800,0.02672251081355306,False,0.008278387940425513,0.016556775880850905,4,0.4978282086029189,Optimization terminated successfully. (HiGHS Status 7: Optimal)
13,design_000363,363,lateral_discriminating,5.0,20,native_nonconvergence;moment_residual;low_ess,0.1738492766996992,10000,200,9800,0.02672251081355306,False,0.008278387940425513,0.016556775880850905,4,0.4978282086029189,Optimization terminated successfully. (HiGHS Status 7: Optimal)
13,design_000363,363,lateral_discriminating,5.0,20,native_nonconvergence;moment_residual;low_ess,0.1738492766996992,50000,200,49800,0.02672251081355306,False,0.008278387940425513,0.016556775880850905,4,0.4978282086029189,Optimization terminated successfully. (HiGHS Status 7: Optimal)
13,design_000363,363,lateral_discriminating,5.0,20,native_nonconvergence;moment_residual;low_ess,0.1738492766996992,200000,200,199800,0.02672251081355306,False,0.008278387940425513,0.016556775880850905,4,0.4978282086029189,Optimization terminated successfully. (HiGHS Status 7: Optimal)
14,design_000400,400,lateral_discriminating,5.0,20,native_nonconvergence;moment_residual;low_ess,0.39129498117042844,2000,200,1800,0.030509500341194068,False,0.006825459947096102,0.01365091989419176,4,0.3817963144535342,Optimization terminated successfully. (HiGHS Status 7: Optimal)
14,design_000400,400,lateral_discriminating,5.0,20,native_nonconvergence;moment_residual;low_ess,0.39129498117042844,10000,200,9800,0.030509500341194068,False,0.006825459947096102,0.01365091989419176,4,0.3817963144535342,Optimization terminated successfully. (HiGHS Status 7: Optimal)
14,design_000400,400,lateral_discriminating,5.0,20,native_nonconvergence;moment_residual;low_ess,0.39129498117042844,50000,200,49800,0.030509500341194068,False,0.006825459947096102,0.01365091989419176,4,0.3817963144535342,Optimization terminated successfully. (HiGHS Status 7: Optimal)
14,design_000400,400,lateral_discriminating,5.0,20,native_nonconvergence;moment_residual;low_ess,0.39129498117042844,200000,200,199800,0.030509500341194068,False,0.006825459947096102,0.01365091989419176,4,0.3817963144535342,Optimization terminated successfully. (HiGHS Status 7: Optimal)
15,design_000215,215,support_random,7.5,30,native_nonconvergence;moment_residual;low_ess,0.3771518367780335,2000,200,1800,0.003460763419346291,True,5.551115123125783e-17,6.206486903128536e-17,5,0.6211761034933678,Optimization terminated successfully. (HiGHS Status 7: Optimal)
15,design_000215,215,support_random,7.5,30,native_nonconvergence;moment_residual;low_ess,0.3771518367780335,10000,200,9800,0.003460763419346291,True,5.551115123125783e-17,6.206486903128536e-17,5,0.6211761034933678,Optimization terminated successfully. (HiGHS Status 7: Optimal)
15,design_000215,215,support_random,7.5,30,native_nonconvergence;moment_residual;low_ess,0.3771518367780335,50000,200,49800,0.003460763419346291,True,5.551115123125783e-17,6.206486903128536e-17,5,0.6211761034933678,Optimization terminated successfully. (HiGHS Status 7: Optimal)
15,design_000215,215,support_random,7.5,30,native_nonconvergence;moment_residual;low_ess,0.3771518367780335,200000,200,199800,0.003460763419346291,True,5.551115123125783e-17,6.206486903128536e-17,5,0.6211761034933678,Optimization terminated successfully. (HiGHS Status 7: Optimal)
