case,design_id,design_index,style,day,source_time_index,grid_nx,grid_ny,grid_point_count,converged,iterations,reported_residual,verified_l2_residual,verified_linf_residual,lambda_0,lambda_1,lambda_2,lambda_3,lambda_norm,kl_divergence,intrinsic_ess,log10_intrinsic_ess,covariance_min_eigenvalue,covariance_max_eigenvalue,covariance_condition_regularized,maximum_quadrature_weight,solver_tier
14,design_000400,400,lateral_discriminating,5.0,20,512,272,139264,True,6,1.512406041000345e-11,1.512366407133789e-11,9.815082774311534e-12,17.42940890607127,7.805505867898143,17.873697076843428,-5.327106101535148,26.693769371907802,3.0156526255840452,0.0037147165785029767,-2.430074315978163,0.0016506016550828708,0.04553755715303883,27.588443537765034,0.0017779289555403947,inherited_phase2
15,design_000215,215,support_random,7.5,30,128,68,8704,True,7,5.460835079757882e-13,5.455864259322718e-13,3.5770605227858354e-13,9.769223544585843,6.414382982414698,-2.896058574742705,-2.2313766566314834,12.245335224536824,1.3350353468812695,0.026308580562778943,-1.579902582943643,1.979859402933908e-05,0.10969543753259348,5540.287258922913,0.01328422044789187,inherited_phase2
15,design_000215,215,support_random,7.5,30,256,136,34816,True,7,5.450960617179553e-13,5.460722635695215e-13,3.576943428951207e-13,9.76922347036855,6.414382979501366,-2.896058583738879,-2.231376658145313,12.24533516620431,1.335035347527204,0.026308580521999428,-1.5799025836168197,1.9798593943640546e-05,0.10969543758120673,5540.287285358189,0.003395122750293941,inherited_phase2
15,design_000215,215,support_random,7.5,30,512,272,139264,True,7,5.45637371089242e-13,5.442729652097854e-13,3.5773467521593716e-13,9.76922347037685,6.414382979501596,-2.896058583738444,-2.2313766581450523,12.245335166210902,1.335035347527205,0.026308580521999542,-1.5799025836168177,1.9798593943639414e-05,0.109695437581206,5540.2872853584695,0.0008485137868878488,inherited_phase2
16,design_000302,302,longitudinal_stratified,7.5,30,128,68,8704,True,7,9.248272748477802e-16,7.963722312378281e-16,7.771561172376096e-16,4.2545338403806605,1.6200677784274191,1.0715757553649266,26.082616556308235,26.49861956458361,2.9666247384339117,1.2935134841270282e-07,-6.888229039656028,0.004396707786402515,0.18073308878431554,41.10644997532242,0.016053726236486307,inherited_phase2
16,design_000302,302,longitudinal_stratified,7.5,30,256,136,34816,True,7,1.4825219231211098e-15,5.723641179706052e-16,5.689893001203927e-16,4.254533851277625,1.6200677858111736,1.0715757588924115,26.082616561359494,26.498619571899226,2.966624739184628,1.2935135268986168e-07,-6.888229025295555,0.004396707799104637,0.18073308878527927,41.10644985678479,0.004002613826790401,inherited_phase2
16,design_000302,302,longitudinal_stratified,7.5,30,512,272,139264,True,7,1.3374616750946043e-15,2.4487906147411006e-15,2.1649348980190553e-15,4.2545338512779525,1.6200677858113892,1.0715757588924544,26.0826165613597,26.498619571899496,2.9666247391846543,1.2935135268985064e-07,-6.888229025295592,0.00439670779910416,0.1807330887852807,41.106449856789574,0.0010108746125612087,inherited_phase2
17,design_000354,354,lateral_discriminating,7.5,30,128,68,8704,True,8,1.0688814254877482e-12,1.0692101766168943e-12,1.0279728457351922e-12,23.71000133490903,-1.062447930729308,8.65120190701295,26.82582307467808,36.84780912044479,1.8762080171631237,3.115916687655663e-08,-7.506414162865688,0.003221117726480418,0.07913842293487394,24.56861440228414,0.010769041860424173,inherited_phase2
17,design_000354,354,lateral_discriminating,7.5,30,256,136,34816,True,8,1.0693258050657335e-12,1.0690377690583633e-12,1.028068255526371e-12,23.71000133334847,-1.0624479283718529,8.651201907317645,26.825823084903792,36.84780912688869,1.876208017831169,3.1158910768686376e-08,-7.50641773249553,0.003221117726184057,0.07913842294419901,24.56861440743957,0.002793751372682204,inherited_phase2
17,design_000354,354,lateral_discriminating,7.5,30,512,272,139264,True,8,1.0685112962504394e-12,1.0691386028104261e-12,1.0278878442848693e-12,23.710001333348483,-1.0624479283718897,8.651201907317642,26.825823084903757,36.84780912688868,1.876208017831154,3.115891076868749e-08,-7.506417732495515,0.0032211177261840442,0.07913842294419839,24.568614407439473,0.0007067440425008699,inherited_phase2
18,design_000387,387,lateral_discriminating,10.0,40,128,68,8704,True,10,7.61634974011247e-10,7.616350155628504e-10,6.867320935001475e-10,21.548462958493705,6.3118343702318995,4.2742812168130735,8.587979809425628,24.41717399942752,1.0098581865207255,0.0003049534957628249,-3.5157663838448823,0.00038122384016137036,0.08845678402245423,232.03310934568418,0.00723778574054746,inherited_phase2
18,design_000387,387,lateral_discriminating,10.0,40,256,136,34816,True,10,7.616349579301926e-10,7.616352067481405e-10,6.867320848265301e-10,21.548462957723327,6.311834370077614,4.274281216551842,8.587979809196678,24.417173998581514,1.0098581864323788,0.00030495350076821,-3.515766376716546,0.0003812238400897219,0.0884567840186587,232.033109379337,0.001869172141837124,inherited_phase2
18,design_000387,387,lateral_discriminating,10.0,40,512,272,139264,True,10,7.616374968901007e-10,7.616366830257405e-10,6.867320731171467e-10,21.54846295772322,6.311834370077669,4.274281216551777,8.58797980919668,24.417173998581422,1.0098581864323533,0.0003049535007682523,-3.5157663767164857,0.00038122384008971267,0.08845678401865696,232.03310937933804,0.0004680602988752528,inherited_phase2
19,design_000409,409,lateral_discriminating,10.0,40,128,68,8704,True,7,1.9811513161373544e-10,1.9811511036588087e-10,1.471578128450779e-10,25.40911909044767,1.5308219789140538,2.7056470782211015,10.272306325554105,27.582740114817884,0.9751431935569016,6.868960442233337e-06,-5.163108984681834,0.0005320795484067194,0.10830066962614138,203.54187152761116,0.006856861440297952,inherited_phase2
19,design_000409,409,lateral_discriminating,10.0,40,256,136,34816,True,7,1.98114734737626e-10,1.9811468829819468e-10,1.4715780547250312e-10,25.409119091140198,1.5308219783923926,2.7056470781649584,10.272306325219576,27.582740115296797,0.9751431934631933,6.8689599145593465e-06,-5.163109018044366,0.0005320795485588073,0.10830066962320138,203.54187146390606,0.0017337285887107812,inherited_phase2
19,design_000409,409,lateral_discriminating,10.0,40,512,272,139264,True,7,1.9811458047292036e-10,1.9811520871560026e-10,1.4715783843224917e-10,25.40911909114016,1.5308219783924348,2.70564707816488,10.27230632521975,27.58274011529682,0.9751431934631959,6.868959914559736e-06,-5.1631090180443415,0.0005320795485587906,0.10830066962320056,203.5418714639109,0.0004342937457002365,inherited_phase2
