design_index,design_id,rank,validation_risk,bootstrap_SE,bootstrap_CI_low,bootstrap_CI_high,bootstrap_rank_median,bootstrap_rank_CI_low,bootstrap_rank_CI_high,near_optimal,maximum_KL,integrated_KL_uniform,minimum_intrinsic_ESS,minimum_log10_intrinsic_ess,maximum_lambda_norm,maximum_covariance_condition,maximum_projection_residual,sensor_1_x_km,sensor_1_y_km,sensor_2_x_km,sensor_2_y_km,sensor_3_x_km,sensor_3_y_km,sensor_4_x_km,sensor_4_y_km
501,design_000501,410,0.029943315278443877,0.01563325012466432,0.014552058835121678,0.07507904710654083,406.0,227.37500000000006,433.0,False,7.434954108721632,0.9669234598655582,0.0,-607.0903822743014,72709692.73538543,37454184124101.664,9.966727658082209e-09,5.139597710594558,377.7619469101469,1109.3602464291955,-704.2431044098397,759.9252960966926,320.0858850421587,1451.338682783379,-769.8500834623256
440,design_000440,411,0.029964862481128028,0.014640052625271256,0.01660612769235946,0.07291070188494683,407.0,294.2750000000001,435.04999999999995,False,8.433346303072653,0.668127485098195,5.665516510908637e-54,-53.246760490458676,8483.740158929668,44423038.07080564,3.443176729687483e-09,412.3084423706098,-164.37260339120712,-322.7365416249046,-296.2185709068486,142.2231851303605,396.8642937105161,691.6848264613673,-529.5812948742168
21,design_000021,412,0.030122508895888436,0.015512003380390566,0.01481870775151954,0.07486606482175115,407.0,221.47500000000002,437.0,False,21.035591869840093,1.5016913187907068,1.6990817178141525e-38,-37.76978573311312,291.2810911642694,19483.61422735352,8.409950978342603e-09,-67.15531089150022,99.68734148064632,534.2266435457154,-0.387930798845435,333.14866678240134,-441.7824745037475,322.81118541481453,238.78994413636786
508,design_000508,413,0.030124108796377988,0.01367538579431748,0.018778127904353226,0.07183467541119512,408.0,352.425,446.04999999999995,False,4.754581090333644,0.5536617853349245,0.0,-1562.2764704853644,7156602.522526678,13951950943452.848,8.237869532342236e-09,359.815128028457,332.8683200972123,1160.2075219922572,747.4627069834553,974.5496731978685,-601.8249225547463,-227.2641543148506,48.69404288230908
497,design_000497,414,0.030194152291983568,0.014770208369319481,0.015950761398116575,0.07345738084700437,410.0,288.475,421.525,False,5.523259368671409,0.8289513183365173,0.0,-1728.6291890934353,132699702.12324385,22147564908609.27,9.96151738320865e-09,724.2533230773395,414.42684310895834,1075.7740126093906,-226.3071550939345,1658.1825159102582,847.4231709781188,-468.00607207460496,-671.3413469172758
369,design_000369,415,0.03023820122632143,0.013753015992927217,0.017178978304797764,0.06936044615530194,407.0,307.90000000000003,440.525,False,19.52512066454377,1.8301056650140353,0.0,-2115.2444020445982,810572190.6932331,133434174.55492975,9.979008136013605e-09,1240.059388980626,-609.2603220242974,1417.6808156370853,-142.73720838306775,1044.8878530269578,165.13799390551802,1275.728824578544,565.9039604698343
490,design_000490,416,0.0303192826102202,0.01407605596291807,0.01695053540665108,0.07080788465771158,409.0,302.425,431.0,False,6.831440472564431,0.8328531652404392,0.0,-373.5064127460526,959500001.9209616,391747531370.4528,9.94920527145996e-09,1318.7391215648959,-505.73178032180675,769.0830348708566,-585.4829653711555,1622.1138290936558,496.7732972471845,983.8006969097216,287.4116592135092
112,design_000112,417,0.030963813074937983,0.01605690520067401,0.014760788270600667,0.07583698318639727,415.5,205.32500000000007,429.0,False,9.899909170849131,0.8848250336075731,0.0,-2660.7530456266127,6461.865821773942,6867782850718.945,8.118982210095687e-09,183.46340283007635,207.9079495636465,293.12074009949134,-125.60909196830777,469.9461088863062,-321.4460844210403,1326.0359395614162,308.00472460708056
62,design_000062,418,0.031005363696032923,0.014142782559829056,0.017767551335460638,0.07084216647010576,413.0,297.475,443.04999999999995,False,6.095983196343852,0.8256324619839013,0.0,-6832.152121363428,142631360.73434106,48716043273492.305,9.629106000510022e-09,1770.0199975233618,239.14838705627773,116.0939697217948,150.65164437046354,1179.350133564557,378.5960531473625,930.3537413079114,-158.655359799125
481,design_000481,419,0.03117342702225254,0.01306588022764688,0.01932422140257104,0.06889588219333198,415.5,329.0,454.525,False,18.88419113666372,1.7814743303186087,0.0,-13127.436675044934,152967368.64606667,432528365881.9698,8.467730949666153e-09,1308.1664848086516,281.8244947549333,1772.6269544977856,620.9284209340203,1066.617867115849,148.6386231605013,1693.4614124281647,224.9589083774746
