design_index,design_id,dense_target_range_valid,dense_target_joint_feasible,domain_grid_hull_maximum_violation,domain_grid_worst_target_lp_linf_residual,domain_grid_resolution,minimum_smoothed_moment,maximum_smoothed_moment,minimum_raw_moment,classification,failure_reason,dense_projection_valid,multiplier_dynamics_valid,tangent_action_valid,full_action_valid,gram_rank_constant,gram_rank_values,tangent_rank_sensitivity_valid,maximum_relative_tangent_rank_action_change,tangent_rank_tolerance_actions,maximum_moment_residual,maximum_soft_projection_stationarity_residual,minimum_covariance_eigenvalue,maximum_covariance_condition,maximum_gram_compatibility_residual,tangent_action,bandwidth_sensitivity_valid
347,design_000347,True,True,-2.5742886406436805e-05,6.776263578034403e-21,128x68,3.2520485546204683e-05,0.8596117531347873,3.315399000533071e-06,pending_dense_projection,,True,True,True,False,True,4,True,0.0,1e-10:961484.13486049173;1e-12:961484.13486049173;1e-14:961484.13486049173,0.05578305346200553,9.237218715341961e-10,2.5000267665877497e-05,2950.3841864668184,1.3041396151305608e-15,961484.1348604917,True
14,design_000014,True,True,-1.4229006847163612e-07,0.0,128x68,1.5723962852533378e-07,0.536618867088265,3.845799417200536e-09,pending_dense_projection,,True,True,True,False,False,3;4,True,0.006108092644907477,1e-10:1836011.8746344345;1e-12:1841893.2599599939;1e-14:1847226.4052618518,0.030443592003697246,9.630982836215559e-10,2.500000003274045e-05,2746.175576489246,7.779833965583673e-07,1836011.8746344345,True
150,design_000150,True,True,-6.69471014674478e-09,6.193206969087853e-10,128x68,1.0758194170406512e-09,0.6561972477142559,5.988210261525698e-12,pending_dense_projection,,True,True,True,False,False,2;3;4,True,0.03181359964268414,1e-10:1043229.570725814;1e-12:1066401.3240026201;1e-14:1076418.4586242943,0.047486606730497885,8.618475851905363e-10,2.5000000000009715e-05,5962.733210825608,6.007226552878465e-05,1043229.570725814,True
193,design_000193,True,True,-1.749159283157261e-08,4.206704429243757e-16,128x68,1.7038684005914632e-08,0.17744389245098238,2.3599531574431756e-10,pending_dense_projection,,True,True,True,False,False,3;4,True,0.011136678881893899,1e-10:1371220.7511503326;1e-12:1378724.7796526679;1e-14:1386491.5963320832,0.036931626781896806,9.617965281605749e-10,2.5000000000733257e-05,1635.9366351463143,5.6289263281044565e-05,1371220.7511503326,True
281,design_000281,True,True,-3.610442417328638e-06,1.1102230246251565e-16,128x68,4.732379879991057e-06,0.8787673290692821,2.7298127146221053e-07,pending_dense_projection,,True,True,True,False,False,3;4,True,0.004638094687859456,1e-10:1028086.7717741922;1e-12:1032855.1355690167;1e-14:1032855.1355690167,0.03970871150897799,9.9639393363445e-10,2.5000015184364743e-05,3567.9584379367375,3.242465274556288e-06,1028086.7717741922,True
312,design_000312,True,True,-3.1476525309883696e-06,5.551115123125783e-17,128x68,4.075260230220312e-06,0.4740702955522929,5.219303337005041e-07,pending_dense_projection,,True,True,True,False,False,3;4,True,0.007917286398001799,1e-10:1212231.3972982529;1e-12:1221828.9804513131;1e-14:1221828.9804513131,0.05258100998827357,9.988826178632714e-10,2.50000098835212e-05,3701.5706240536333,2.1951296517986648e-05,1212231.397298253,True
121,design_000121,True,True,-5.963812472005124e-08,1.3461425888966157e-14,128x68,7.937585116992255e-10,0.33333247317137027,4.730750933979141e-12,pending_dense_projection,,True,True,True,False,False,3;4,True,0.02223750668559996,1e-10:1130151.8143449442;1e-12:1139415.2271532444;1e-14:1155283.5728721828,0.04527166818776914,9.66917982515286e-10,2.500000000000564e-05,4976.738945352668,2.8762871812251747e-06,1130151.8143449442,True
241,design_000241,True,True,-2.1619650720300968e-07,1.1102230246251565e-16,128x68,2.3444846672944075e-07,0.7671400174025101,6.51409540840594e-09,pending_dense_projection,,True,True,True,False,False,3;4,True,0.005313479343322842,1e-10:1026012.4451500893;1e-12:1026899.4720626;1e-14:1031464.1410833865,0.03720110274660356,9.52152821588488e-10,2.500000007058751e-05,2415.7032915045625,5.959472513767778e-07,1026012.4451500893,True
245,design_000245,True,True,-0.00041137339085480667,5.551115123125783e-17,128x68,0.0010108909884009355,0.7163853636971383,0.0002100417135723889,pending_dense_projection,,True,True,True,False,True,4,True,0.0,1e-10:784793.13840231148;1e-12:784793.13840231148;1e-14:784793.13840231148,0.06826948661169649,9.973791799094731e-10,2.5030953345380167e-05,1364.9228462015794,1.5850054036045665e-15,784793.1384023115,False
224,design_000224,True,True,-1.7556159281599018e-05,1.1102230246251565e-16,128x68,1.952028541565148e-05,0.6697783697764358,1.6631941635818762e-06,pending_dense_projection,,True,True,True,False,False,3;4,True,0.0009018213946706911,1e-10:940841.22597554;1e-12:941689.69672211295;1e-14:941689.69672211295,0.03340867412530602,9.310629326540406e-10,2.5000132375153785e-05,3100.965830244779,1.2324410977501804e-05,940841.22597554,True
