near_optimal_rank,design_index,design_id,style,validation_risk,risk_difference_from_best,bootstrap_risk_se,bootstrap_risk_ci_lower,bootstrap_risk_ci_upper,s1_x_km,s1_y_km,s2_x_km,s2_y_km,s3_x_km,s3_y_km,s4_x_km,s4_y_km
57,13,design_000013,support_random,0.009916123043057135,0.004391414211826098,0.008212089610667377,0.007109049709675001,0.038181441063451456,550.2033910443116,224.09279482963632,1244.1747624663246,150.42713006853793,1544.2431273921711,-110.93004558952718,-470.7912472971211,-551.4826141964402
58,342,design_000342,longitudinal_stratified,0.009951248311331875,0.004426539480100838,0.005099410209147238,0.009590695333642,0.02928367420318736,-106.25805873269756,-82.46979476964688,-6.115239524970576,-336.3706298894859,361.0200171384199,94.18663364266217,1217.1694023198556,357.34595605836427
59,270,design_000270,longitudinal_stratified,0.01007177868886464,0.004547069857633604,0.004859860763409371,0.009473657944983942,0.02871291906240424,-111.73995685969773,-81.21814017480146,231.30068792090475,240.18507724823678,397.15539725701734,-122.14969218521244,1446.9208275722465,183.32294728345414
60,200,design_000200,support_random,0.010080487586968102,0.004555778755737065,0.00873488811448143,0.0069979075465345965,0.040141467395010504,702.737517478364,218.66967116518967,355.77175676865664,464.15301115350655,1765.706468935616,208.72278909973414,1022.0186916288917,166.9935528073005
61,12,design_000012,support_random,0.010088504093685372,0.004563795262454335,0.010136462393973764,0.0050750428370720455,0.043257679250142185,605.7423186777089,210.11240998728468,1071.9819404305492,118.93213155427242,192.32889854616656,-235.9268352655097,297.77869244629335,39.85045927225555
62,286,design_000286,longitudinal_stratified,0.010109130238176613,0.004584421406945576,0.008712338965045037,0.006442929032968046,0.03943578425472748,-180.87146371507103,-362.22899296056255,198.15741117863342,2.062847956940427,525.1173570112666,305.175771833273,768.3136863195425,122.74469248443555
63,221,design_000221,longitudinal_stratified,0.010150487020626226,0.004625778189395189,0.005653625886456226,0.00923053870361445,0.03140700582940652,-286.41762424208576,-89.54540908286987,23.791159220818713,-201.21066988812703,478.25707882138755,306.1883396410537,1177.457965744285,196.55080017737006
64,272,design_000272,longitudinal_stratified,0.010173747427019939,0.004649038595788902,0.006636836449187787,0.00855807665797393,0.03459618269727503,-137.94608508239938,-250.08796059769475,236.8588559610447,204.44243280402964,469.0043096011982,-253.67982810778068,1003.9316607089878,297.0587834574065
65,139,design_000139,support_random,0.01042530894398932,0.004900600112758283,0.010026722203955639,0.00540488175849412,0.043775175764047006,634.0769531155202,230.25371080697875,289.92620033833873,430.38356969165335,128.17618547033445,92.615205178717,1021.1000658247441,91.51945704695359
66,167,design_000167,support_random,0.010478112353370721,0.004953403522139684,0.009529784911964705,0.005942774601893728,0.04217618055466334,-169.35182414874316,-464.9844498265787,1298.1452405374143,131.03037327659337,388.22113032634394,-215.9412568944557,855.0272608218378,143.493677574436
67,255,design_000255,longitudinal_stratified,0.010508039674518974,0.004983330843287937,0.009068074665911313,0.00680966128533719,0.04142613994471216,92.60370683064603,-210.43865556544606,61.34670846992092,281.2791822552505,551.3516736044734,220.55541720361427,871.6567314549786,22.47180975451984
68,32,design_000032,support_random,0.010551275762453691,0.005026566931222654,0.007927066293172639,0.007725074795138918,0.03816438028717444,180.3226817089893,-116.38195083388626,807.4816827983761,348.260238636861,1432.3546210409954,308.42555651779014,320.22198912626163,292.0876806983081
