seed,method,resample,generation_seed,oracle_seed,mmd2,maximum_moment_error,generated_q4_change,generation_minus_tv,generation_plus_tv,oracle_minus_tv,oracle_plus_tv
403,geometric_sinkhorn,9,40340009,40350009,0.025442720224912563,0.026976720184176683,0.6119978071749876,0.37209725192725707,0.303512793134643,0.09459049331834643,0.08606635324843395
403,geometric_sinkhorn,10,40340010,40350010,0.022728512793656647,0.022906746544320736,0.6171420447699223,0.3848293944589197,0.40678309380945454,0.10096978348966784,0.10752264057466482
403,geometric_sinkhorn,11,40340011,40350011,0.012926730371843387,0.012247331639070616,0.6150589358573826,0.3277025382504694,0.39680232660496917,0.10413938597784579,0.0933757559237873
403,geometric_sinkhorn,12,40340012,40350012,0.012253479989591781,0.015318736867325235,0.5974232013080728,0.39776976764999544,0.3629110081736667,0.11553557468107324,0.1028760312199202
403,geometric_sinkhorn,13,40340013,40350013,0.011150377406533796,0.013828398149337937,0.599460034918871,0.43968868102088837,0.33136425438514616,0.11384396985359543,0.1056165926488409
403,geometric_sinkhorn,14,40340014,40350014,0.01975350232241041,0.01760715363683732,0.6373415003323954,0.3483322287461497,0.3674839689935728,0.10042270333885084,0.10235199551124696
403,geometric_sinkhorn,15,40340015,40350015,0.010760123661696902,0.013056984566596142,0.6139510879363448,0.3573592203619711,0.3030184672530774,0.10672493467658789,0.08482044333868692
403,geometric_sinkhorn,16,40340016,40350016,0.00985844602090108,0.01381328515515521,0.5984888809592093,0.41245133281400853,0.36365509516173,0.09582914543650381,0.09345856274408731
403,geometric_sinkhorn,17,40340017,40350017,0.01444303617684603,0.014347463730067941,0.6034119817991672,0.394722302548017,0.41070474931614465,0.09853654962853307,0.09313933153191926
403,geometric_sinkhorn,18,40340018,40350018,0.01019290405887363,0.011470130700225742,0.6129191674015142,0.3884802934497848,0.4063992198048344,0.1005286322233801,0.10071012818615235
403,geometric_sinkhorn,19,40340019,40350019,0.013586440461523852,0.014379573237718466,0.6244763431020577,0.37573828111151286,0.38353132969034587,0.09406986759245718,0.11645311009312137
403,fiber_aware,0,34403,35403,0.01222856538599737,0.009537272989544971,0.6400636740292289,0.37789393066314375,0.47966862857374015,0.09409039690632348,0.09935614894108895
403,fiber_aware,1,40340001,40350001,0.012551930105115267,0.0110996093378897,0.5946827831099738,0.40264047913757667,0.29831541085181346,0.0976899086058276,0.09379303859084927
403,fiber_aware,2,40340002,40350002,0.008774444543271448,0.011713492469336393,0.6211999198833,0.36390965085644533,0.3973509554954773,0.10792481681828214,0.11063377385637253
403,fiber_aware,3,40340003,40350003,0.011219521061738985,0.012868027498687831,0.6138570181508332,0.3511088375593588,0.3706573317583048,0.09418196632113662,0.09511508555483653
403,fiber_aware,4,40340004,40350004,0.01022354298974748,0.01194736286935869,0.6394064269160677,0.3366299046335717,0.38142388370434316,0.11670694548001545,0.10011231124755267
403,fiber_aware,5,40340005,40350005,0.012951935056252112,0.015971479244277633,0.6178834570755418,0.36384455516502856,0.33527599594545476,0.0914140899933911,0.08477896946110706
403,fiber_aware,6,40340006,40350006,0.009185351716675533,0.011433194902187657,0.6105053661646725,0.3803166620569739,0.3366576464032113,0.0877747766490304,0.08376954313220344
403,fiber_aware,7,40340007,40350007,0.014216502450658197,0.019649616184172228,0.5963383846826347,0.37521351871140085,0.3682367230443784,0.09596816956656785,0.09207512588496744
403,fiber_aware,8,40340008,40350008,0.01257585104546366,0.013012713995444852,0.5938041177164296,0.40136756722465555,0.3984595924579246,0.09750096720858908,0.0903288462671624
403,fiber_aware,9,40340009,40350009,0.021399110234129465,0.02436911140946502,0.6189139715049361,0.37209725192725707,0.347746274787346,0.09459049331834643,0.09072482395533224
403,fiber_aware,10,40340010,40350010,0.0222865839620347,0.020024469165771244,0.6176848805281214,0.3848293944589197,0.36139791463210225,0.10096978348966784,0.0907710117360328
403,fiber_aware,11,40340011,40350011,0.009737742020980628,0.012531672710184835,0.6225882121368863,0.3277025382504694,0.3904308399210823,0.10413938597784579,0.08907801190144217
403,fiber_aware,12,40340012,40350012,0.012692424727081625,0.014047543045656058,0.5976831960862122,0.39776976764999544,0.3768031204240563,0.11553557468107324,0.10735350642359578
403,fiber_aware,13,40340013,40350013,0.010150018988256626,0.012513140743868292,0.6021552941922843,0.43968868102088837,0.36106531288354926,0.11384396985359543,0.07703103481173293
403,fiber_aware,14,40340014,40350014,0.02133342432262955,0.012904847212509656,0.6336217495909545,0.3483322287461497,0.3649921190937694,0.10042270333885084,0.09546229682527183
403,fiber_aware,15,40340015,40350015,0.012734319833601598,0.012877362013788021,0.6136224389034224,0.3573592203619711,0.3314044362136692,0.10672493467658789,0.10677418418745471
