candidate_rank,pair_id,observation_dimension,t,target_hull_feasible,target_hull_lp_residual,calibration_converged,maximum_standardized_residual,ess_fraction,maximum_weight
3,v6_F0300_k06075__v6_F0280_k05800,2,0.2,False,,False,,,
3,v6_F0300_k06075__v6_F0280_k05800,2,0.30000000000000004,False,,False,,,
3,v6_F0300_k06075__v6_F0280_k05800,2,0.4,False,,False,,,
3,v6_F0300_k06075__v6_F0280_k05800,2,0.5,False,,False,,,
3,v6_F0300_k06075__v6_F0280_k05800,2,0.6,True,0.0,True,1.2090328738167955e-13,0.0009714860188026077,0.7069810721412255
3,v6_F0300_k06075__v6_F0280_k05800,2,0.7000000000000001,True,1.1102230246251565e-16,True,3.552713678800501e-15,0.011077120134006435,0.12787542985998526
3,v6_F0300_k06075__v6_F0280_k05800,2,0.8,True,1.1102230246251565e-16,True,4.440892098500626e-16,0.08047558553335726,0.035349239513488215
3,v6_F0300_k06075__v6_F0280_k05800,2,0.9,True,0.0,True,5.1422643920773226e-11,0.43309732537231066,0.004370815595623891
4,v6_F0300_k06050__v6_F0280_k05800,3,0.1,False,,False,,,
4,v6_F0300_k06050__v6_F0280_k05800,3,0.2,False,,False,,,
4,v6_F0300_k06050__v6_F0280_k05800,3,0.30000000000000004,False,,False,,,
4,v6_F0300_k06050__v6_F0280_k05800,3,0.4,False,,False,,,
4,v6_F0300_k06050__v6_F0280_k05800,3,0.5,False,,False,,,
4,v6_F0300_k06050__v6_F0280_k05800,3,0.6,False,,False,,,
4,v6_F0300_k06050__v6_F0280_k05800,3,0.7000000000000001,True,2.220446049250313e-16,True,6.140798980425188e-11,0.013794533310936727,0.15477767231720468
4,v6_F0300_k06050__v6_F0280_k05800,3,0.8,True,2.220446049250313e-16,True,2.9976021664879227e-15,0.10577770150759123,0.0240123661019857
4,v6_F0300_k06050__v6_F0280_k05800,3,0.9,True,1.1102230246251565e-16,False,6.316600575928533e-10,0.4865518221985844,0.0031815290057755677
5,v6_F0300_k06050__v6_F0280_k05800,2,0.1,False,,False,,,
5,v6_F0300_k06050__v6_F0280_k05800,2,0.2,False,,False,,,
5,v6_F0300_k06050__v6_F0280_k05800,2,0.30000000000000004,False,,False,,,
5,v6_F0300_k06050__v6_F0280_k05800,2,0.4,False,,False,,,
5,v6_F0300_k06050__v6_F0280_k05800,2,0.5,True,1.1102230246251565e-16,True,5.329070518200751e-15,0.0013127531185083388,0.4300606108914857
5,v6_F0300_k06050__v6_F0280_k05800,2,0.6,True,2.220446049250313e-16,True,7.47957251689968e-13,0.007687637898010812,0.07023544772621457
5,v6_F0300_k06050__v6_F0280_k05800,2,0.7000000000000001,True,1.1102230246251565e-16,True,9.515721544062217e-13,0.020216758997126803,0.11748010473098652
5,v6_F0300_k06050__v6_F0280_k05800,2,0.8,True,0.0,True,8.615330671091215e-14,0.08464065811814504,0.02999217240511601
5,v6_F0300_k06050__v6_F0280_k05800,2,0.9,True,0.0,True,3.9390712913700554e-13,0.49112908786436477,0.0037242815951591744
6,v6_F0280_k05950__v6_F0280_k05800,3,0.1,True,4.440892098500626e-16,True,7.515099653687685e-12,0.07599613641217207,0.027326534212917624
6,v6_F0280_k05950__v6_F0280_k05800,3,0.2,True,2.220446049250313e-16,True,1.361133428190442e-13,0.004769720355063567,0.2533917556794328
6,v6_F0280_k05950__v6_F0280_k05800,3,0.30000000000000004,False,,False,,,
6,v6_F0280_k05950__v6_F0280_k05800,3,0.4,False,,False,,,
6,v6_F0280_k05950__v6_F0280_k05800,3,0.5,True,2.220446049250313e-16,True,3.778422019706795e-11,0.00624824936534491,0.12259467730776141
6,v6_F0280_k05950__v6_F0280_k05800,3,0.6,True,2.220446049250313e-16,True,2.227196205240034e-11,0.0074572198020470114,0.11243773746906083
6,v6_F0280_k05950__v6_F0280_k05800,3,0.7000000000000001,True,1.1102230246251565e-16,True,5.21072074377571e-12,0.0073262458295525155,0.13342395545148972
6,v6_F0280_k05950__v6_F0280_k05800,3,0.8,True,2.220446049250313e-16,False,1.5675660769431943e-10,0.031705156639058193,0.046785893445301235
6,v6_F0280_k05950__v6_F0280_k05800,3,0.9,True,0.0,True,3.3306690738754696e-15,0.12795131461908776,0.02572614487626648
7,v6_F0280_k05950__v6_F0280_k05800,2,0.1,True,0.0,True,2.4424906541753444e-15,0.12290053199223432,0.020046479481440685
