objective,model_seed,strength,normalized_strength,tangent_local_mmd,tangent_rollout_mmd,mfsi_rollout_mmd,velocity_gap,angular_error,min_ess,mean_ess,mean_projection_distortion,mean_lambda_norm,max_moment_error
fiber_medium,20260812,0.2498302501186414,0.4842038401805383,0.0670662150694817,0.1391349079452088,0.14230786864596565,0.5097459663245855,0.04234820876020132,0.4804637993483835,0.763773339240175,0.12429117691448743,0.41506685736190096,0.001581791406299421
fiber_medium,20260813,0.2534970336548227,0.49231794648459026,0.0648056426695561,0.14151897942041464,0.14159363795422966,0.4593724878818125,0.04483521295116091,0.47057993131776704,0.7588722107081742,0.1323942751087447,0.44584089758110157,0.0017518586289809006
fiber_medium,20260814,0.2616570862470221,0.5063999638420074,0.06843855703477601,0.10821390150238808,0.07185546490996411,0.551989307437616,0.05378484770761569,0.43039307588783915,0.7370397620616769,0.14013540914920078,0.4596601639974013,0.0011470367430046907
fiber_medium,20260815,0.25210638665174334,0.4887243075852471,0.0656244230260924,0.12783119380590927,0.12728311184282515,0.48728689140360804,0.04881176612979422,0.4697944577674805,0.7577936991775693,0.13836770654268654,0.47292083248203065,0.0016765547719307331
fiber_medium,20260816,0.2519281289730668,0.4901735803374872,0.06467959250620985,0.1423974619737602,0.07434932098299803,0.4902872964852351,0.08392284939995644,0.4594285595485477,0.7526060720423923,0.12712538356428144,0.4148992466731148,0.0022267925610925015
fiber_medium,20260817,0.2521178169944271,0.4902852664179978,0.07004997356019313,0.08923575132810643,0.0824537410493252,0.32670824194315184,0.06871292199347205,0.405532152024623,0.727475016398658,0.14376865006715786,0.46562066514584916,0.0018415918655500304
fiber_medium,20260818,0.25202264673732244,0.489005885702056,0.06839825094801963,0.12279966433217386,0.07738618367801274,0.7118365689117627,0.06019616389535641,0.45620498995649034,0.7509209224884819,0.1278206001394471,0.4189373782264184,0.0013676824602093123
fiber_medium,20260819,0.26267698945605755,0.5106199546041197,0.06967970711342326,0.09035294148945738,0.07038773309197459,0.590913988446444,0.06840823611109628,0.4030181741401398,0.7240632296747559,0.14675320277116558,0.4659920126374887,0.0021306416423042484
full_phi5,20260810,0.5160304672922152,0.9999999999999634,0.08347301377118028,0.08407559914640876,0.08260791757775637,0.22664182642166883,0.05053561502645461,0.2726607298584038,0.6325796086393615,0.2579161904346384,0.6071582126240004,0.0014382802904266254
full_phi5,20260811,0.5160304672922152,0.9999999999999634,0.08347301377118035,0.08407559914640865,0.08394679308968088,0.2655379028606728,0.05915225759784702,0.2726607298584038,0.6325796086393615,0.2579161904346384,0.6071582126240004,0.0014384257083713812
full_phi5,20260812,0.5160304672922152,0.9999999999999634,0.08347301377118035,0.08407559914640865,0.08253035057178018,0.34976587846005003,0.08984652737476222,0.2726607298584038,0.6325796086393615,0.2579161904346384,0.6071582126240004,0.001438636919574631
full_phi5,20260813,0.5160304672922152,0.9999999999999634,0.08347301377118035,0.08407559914640865,0.08406893312724018,0.5388274757660791,0.07849795932109208,0.2726607298584038,0.6325796086393615,0.2579161904346384,0.6071582126240004,0.0014380355660266243
full_phi5,20260814,0.5160304672922152,0.9999999999999634,0.08347301377118035,0.08407559914640865,0.08119526706153726,0.19417949802951295,0.05352941045118581,0.2726607298584038,0.6325796086393615,0.2579161904346384,0.6071582126240004,0.0014381049565281069
full_phi5,20260815,0.5160304672922152,0.9999999999999634,0.08347301377118035,0.08407559914640865,0.08406946399627574,0.5423852209405958,0.07852068589642472,0.2726607298584038,0.6325796086393615,0.2579161904346384,0.6071582126240004,0.0014380355660266243
full_phi5,20260816,0.5160304672922152,0.9999999999999634,0.08347301377118035,0.08407559914640865,0.08904405373134672,0.37553238100898934,0.11347495823549383,0.2726607298584038,0.6325796086393615,0.2579161904346384,0.6071582126240004,0.0014380355660266243
full_phi5,20260817,0.5160304672922152,0.9999999999999634,0.08347301377118035,0.08407559914640865,0.08242429653134195,0.6059060710234039,0.08181437278046662,0.2726607298584038,0.6325796086393615,0.2579161904346384,0.6071582126240004,0.0014386975106834296
full_phi5,20260818,0.5160304672922152,0.9999999999999634,0.08347301377118035,0.08407559914640865,0.08335819302708677,0.2884288454333701,0.07909643824898449,0.2726607298584038,0.6325796086393615,0.2579161904346384,0.6071582126240004,0.0014390132678862798
full_phi5,20260819,0.5160304672922152,0.9999999999999634,0.08347301377118035,0.08407559914640865,0.07991349113576729,0.4826065248759927,0.0759667670484548,0.2726607298584038,0.6325796086393615,0.2579161904346384,0.6071582126240004,0.0014380728847006527
info,20260810,0.49507730221844637,0.958671700219124,0.08373896022951932,0.1020902880724576,0.08499400003648111,0.9012887921449633,0.05521644225005392,0.28042539441963726,0.63957096652831,0.2461254491797346,0.5865357213390842,0.0015291021406120971
