model,t,learned_mean,direct_mean,learned_m2,direct_m2,maximum_standardized_phi_error,phi_threshold,raw_field_mmd2,raw_mmd_threshold,downsampled_field_mmd2,downsampled_mmd_threshold,phi_gate_pass,raw_mmd_gate_pass,downsampled_mmd_gate_pass,learned_smooth_tv,direct_smooth_tv,learned_anisotropy,direct_anisotropy,learned_soft_area,direct_soft_area,learned_soft_perimeter,direct_soft_perimeter,learned_radial_power_low,direct_radial_power_low,learned_radial_power_middle,direct_radial_power_middle,learned_radial_power_high,direct_radial_power_high,projected_phi_residual_max,projected_ess_fraction,learned_field_minimum,learned_field_maximum
v9_global_spectral,0.453125,0.12773237,0.12808017,0.024588853,0.028616354,1.2247835152512132,0.7437407277309689,0.010462760925292969,0.032349133491516115,0.0032101869583129883,0.014166021347045898,False,True,True,0.04740997,0.07304981,0.22154081,0.09873824,0.35821292,0.3968146,0.21353742,0.42199227,0.5305584669113159,0.5425406694412231,0.004879273474216461,0.005984627641737461,0.0007000163313932717,0.004817183595150709,1.2212453270876722e-15,0.5585336141972833,-0.3380746841430664,0.6593213677406311
v9_global_spectral,0.5,0.12779155,0.12843844,0.024535207,0.028687034,1.2625916784649025,0.5881528885082695,0.012233495712280273,0.02682838439941406,0.002959012985229492,0.01420629024505615,False,True,True,0.047273986,0.07329244,0.22749385,0.09536435,0.35903907,0.39912286,0.2152721,0.4292958,0.528746485710144,0.5420897603034973,0.004946940578520298,0.006022588815540075,0.0007199803367257118,0.004921943414956331,7.771561172376096e-16,0.6130122044240924,-0.35020479559898376,0.6619290113449097
v9_global_spectral,0.546875,0.12783791,0.13084784,0.02448604,0.029206451,1.435500852959005,0.5590853218566165,0.012755274772644043,0.029833006858825683,0.0034699440002441406,0.013701558113098145,False,True,True,0.046869203,0.07267452,0.23462884,0.102041595,0.35945463,0.40838587,0.21460883,0.42684522,0.5281440615653992,0.5566182732582092,0.0048540816642344,0.0058233174495399,0.0007085561519488692,0.004810746293514967,5.551115123125783e-16,0.6449182049117441,-0.3505653142929077,0.660331130027771
v9_global_spectral,0.6015625,0.12769929,0.12923561,0.024360666,0.02859263,1.2869616217723552,0.8326949004063985,0.01701939105987549,0.02662220001220703,0.006507277488708496,0.018999433517456053,False,True,True,0.046063934,0.070387304,0.2446159,0.1076133,0.35886997,0.4023035,0.21093689,0.40527424,0.5270659923553467,0.5510014295578003,0.004594340454787016,0.005398827604949474,0.0006587084499187768,0.0044341622851789,1.2988499165089706e-11,0.7739202858721752,-0.33853980898857117,0.6493028998374939
v9_global_spectral,0.6484375,0.12744412,0.12976176,0.024232274,0.028361754,1.2557960991268855,0.8435005946048995,0.01102590560913086,0.03291738033294677,0.005250215530395508,0.023974609374999997,False,True,True,0.04515207,0.067497335,0.25404915,0.12429129,0.35768992,0.40315756,0.20536035,0.38092107,0.526614248752594,0.5568370819091797,0.004238449968397617,0.004886305890977383,0.0005883448175154626,0.00392488669604063,4.551914400963142e-15,0.9107462395066699,-0.32185983657836914,0.6290112733840942
v9_global_spectral,0.703125,0.1270822,0.12875901,0.02408431,0.027860804,1.1484512088052259,0.8252493450262641,0.01461803913116455,0.03146557807922363,0.0070972442626953125,0.013922739028930663,False,True,True,0.043871652,0.06336018,0.2669376,0.1469876,0.35574877,0.3963222,0.19680546,0.33274376,0.5270516872406006,0.5614630579948425,0.0036850504111498594,0.004249079618602991,0.0004808941448573023,0.0031705943401902914,2.4611979121402783e-11,0.9884098552946013,-0.2984057068824768,0.5955187082290649
v9_global_spectral,0.75,0.1266944,0.12651414,0.023970485,0.02677814,0.8538220325082442,0.6076469989892752,0.010285735130310059,0.03153481483459472,0.0064983367919921875,0.020176291465759274,False,True,True,0.042748053,0.058394022,0.27924493,0.16792391,0.35438484,0.38681218,0.18901908,0.28888592,0.5280506610870361,0.5525367259979248,0.0031699787359684706,0.003449310315772891,0.0003782632702495903,0.0024622983764857054,7.327471962526033e-15,0.8948747191774705,-0.27117717266082764,0.5640358328819275
v9_global_spectral,0.796875,0.12616652,0.12764415,0.023869373,0.026655803,0.8473674499828874,1.108642120465186,0.01399087905883789,0.03754055500030517,0.008967876434326172,0.011824107170104979,True,True,True,0.041705992,0.053801008,0.29188186,0.19785011,0.3531013,0.38886783,0.18165046,0.24862355,0.5293325185775757,0.5649013519287109,0.0026608197949826717,0.0028332166839390993,0.00027493693050928414,0.0017517167143523693,1.3322676295501878e-15,0.6008564576970608,-0.237884521484375,0.5309130549430847
v9_global_spectral,0.8515625,0.12540032,0.12771879,0.02377898,0.026530033,0.8366090571874423,1.3220327345578298,0.009799957275390625,0.029540586471557616,0.009749293327331543,0.01605703830718994,True,True,True,0.040729646,0.048621003,0.30651096,0.24427417,0.35185152,0.38832092,0.1748787,0.20216598,0.5311003923416138,0.5780982375144958,0.0021153888665139675,0.002156064147129655,0.00016495416639372706,0.001002690871246159,1.9051427102567686e-13,0.25894846426980805,-0.19606468081474304,0.4841618239879608
v9_global_spectral,0.8984375,0.12468319,0.12905557,0.023771001,0.026881967,0.9460605374530944,1.3546831918342923,0.012002706527709961,0.029498267173767086,0.010217666625976562,0.031606364250183094,True,True,True,0.04024017,0.04498709,0.3169563,0.318276,0.3512174,0.39310423,0.17115496,0.17820847,0.5334689021110535,0.5969130396842957,0.0017691516550257802,0.001721465727314353,8.852828614180908e-05,0.0004948997520841658,1.0628165014736624e-12,0.32041829190694954,-0.14831599593162537,0.4515693187713623
v9_global_spectral,0.953125,0.12328679,0.12906238,0.023724131,0.027173338,1.0489214896202363,0.6689631040800895,0.011695027351379395,0.039681005477905276,0.012740850448608398,0.0187166690826416,False,True,True,0.04009532,0.04154453,0.32827115,0.43937203,0.3480399,0.394498,0.16820256,0.16430365,0.5341228246688843,0.6112523674964905,0.0015724400291219354,0.0014968214090913534,3.0379693271243013e-05,0.00011748112592613325,2.04933514602601e-10,0.30283334984736066,-0.07835026830434799,0.42856454849243164
v9_global_spectral,1.0,0.12181214,0.1287295,0.023814825,0.027704086,1.1827440460731178,1.768383378805901,0.014019131660461426,0.028728270530700678,0.014310598373413086,0.024050498008728022,True,True,True,0.040579792,0.040239107,0.7107367,1052.8717,0.34554082,0.39524022,0.16684552,0.16109139,0.5362929105758667,0.62520432472229,0.0016420942265540361,0.00151246867608279,1.2232143490109593e-05,1.3154920452507213e-05,7.771561172376096e-16,0.9999760451648751,-0.0353781059384346,0.43255946040153503
